方言,日本語
あずましー,ゆったりと落ち着いた
あめる,食べ物がいたむ
あやつける,かっこうをつける
いずい,目のごみがごろごろする
いたましー,惜しい
うだて,たいそう
うみあけ,春になり流氷が去る
おがる,おおきくなる
おつねん,冬の間
おもやみ,心配
かいべつ,キャベツ
かっちゃく,ひっかく
かてる,仲間に入れる
かんぷうかい,秋に行われる親睦会
がす,霧
がまわれ,寒さで木がこおり割れる
がんび,白樺の木
きかない,気が強い
くき,魚群が岸に押し寄せる
くにしゅー,移住してきた人
けあらし,大量の水蒸気
けっぱる,がんばる
げれっぱ,最下位
げんや,未開拓の土地
こわい,疲れてきつい
ごしょいも,馬鈴薯
ごっぺえかす,大失敗する
さきり,組み合わせた丸太
さっちょん,札幌での単身赴任の生活
ざんぎ,鶏肉のからあげ
しがい,市街地
したっけ,そうしたら
したっけね,それではまたね
しばれる,ひどく寒い
しゃっこい,冷たい
しょーず,小豆
じぶき,地吹雪
ずがもり,屋根の積雪による水漏れ
すたんばい,準備
たいした,たいそう
たがく,持つ
だんき,冬の少し暖かくなった日
ちゃらんけ,文句
ちょす,触る
つっぺ,栓
てんこもり,ご飯の山盛り
でめんさん,日雇いの人
とちゅーはんぱ,中途半端
とーきび,とうもろこし
どさんこ,道産馬
どちらいか,どういたしまして
ないち,本州方面
なげる,捨てる
なまら,たいそう
なんも,いやいや
ねゆき,根雪
はく,はめる
はっちゃき,一心になること
はんかくさい,ばかげた
ばくる,交換する
ばったする,倒れる
ひら,急斜面
へら,しゃもじ
ほっちゃれ,元気のない人
またかする,採算がとれる
まかなう,身支度する
まてに,丁寧に
むりくり,無理に
めんこい,かわいい
ゆるくない,容易でない
らくよー,落葉松
らんき,一生懸命な
るいべ,鮭を凍らせた刺身
わや,むちゃくちゃ
