方言,日本語
あぎた,顎
あけず,とんぼ
あべ,いきましょう
いだましねぁ,おしい
うざねはぐ,苦労する
うるでぁる,あわてる
うんや,いやだ
おがどおぐり,お見送り
おしずがに,気を付けてお帰りください
おだま,お手玉
おっけぁる,躓いて転ぶ
おでってくなんしぇ,おいでください
おどげる,落雷する
おひなる,お起きになる
おへずれまげ,お世辞
おぼっこ,赤ちゃん
かばねやみ,怠け者
かまる,においをかぐ
かわらすずめっこ,セキレイ
かんだず,夕立
かーらげ,すり鉢
きどごろね,うたたね
きみ,とうもろこし
きゃっぱりする,川に落ちる
くそへび,マムシ
けぁっちゃ,裏返し
このげ,眉毛
ござんす,ございます
さぐず,ぬか
さげ,さえ
しっとぎ,米粉で作った団子
しみっぱれ,霜焼け
しょどめ,早乙女
すててぎ,片足立ち
せぁばん,まな板
せっこぎ,怠けること
せっちょはぐ,難儀する
そこっと,静かに
たるひ,つらら
たろし,つらら
ちょっとぎま,少しの間
つっつぐばる,しゃがむ
つぼめぁ,庭
つりたりつりたり,継続的に
てでっぱ,たんぽぽ
ではる,出る
でんがぼ,かまきり
とじぇんごだ,寂しい
とのげる,取り片づける
とりがみ,たてがみ
どてんする,おどろく
どんとはれ,昔話
ぬぐだまる,温まる
ねまる,座る
はいも,里芋
はだっこ,凧
はっかはっかする,どきどきする
はばぎぬぎ,旅行する
ふるだ,ヒキガエル
ぶじょほする,引き返す
べぁっこ,少し
ほっけあ,頬
まつぺー,まぶしい
までに,真面目に
むじぇー,かわいそうだ
むずら,一緒に
むっためがす,一生懸命にやる
めっか,メス牛
もっす,ごめんください
もよう,身支度する
もんこ,おばけ
やくど,故意に
やのあさって,明々後日
よっぴで,一晩中
わらしゃど,こどもたち
