方言,日本語
あだりほどり,そこらじゅう
あっつこっつ,あちらこちら
あんじだす,思い出す
いぎなり,たいへん
いさばや,魚屋
いんぴん,気難しい人
うざにはく,難儀する
えんずえ,違和感があるさま
おしょすい,ありがとう
おだづ,ふざける
おにがらむす,カブトムシ
おれさま,雷
かすける,他人に擦り付ける
きかっと,きちんと
きかんねー,腕白
きんぴょ,急須
くふぇる,穴をふさぐ
けいぎ,見栄え
けさいん,ください
ころっと,全部
ございん,お出でなさい
ござりす,ございなさい
さらさらえぼ,鳥肌
ざんぞかだる,陰口を言う
しぇづねー,うるさい
すぐだまる,うずくまる
すける,手助けする
すもう,しみる
ずへらっと,ぼんやりしているさま
ずみ,健康
せんどな,前に
せんびき,定規
そざす,損なう
ちょどする,静かにする
とじぇん,淋しいさま
とつけもの,景品
とどらね,乱雑なさま
とろっぺず,始終
どでんする,びっくりする
どんぶく,綿入れ
なつこぇ,人懐っこい
ねっぱす,張り付ける
ねつこぇ,しつこい
はすり,台所の流し
はだる,せがむ
ばが,ものもらい
ひぼえ,火の粉
ふぐす,復習する
ふだ,たくさん
へらへら,よくしゃべること
ぺそらぺそら,粘り気のないこと
ぺろ,うどん
ほどる,温まる
ほろぐ,落とす
まで,丁寧
まやう,償う
むじる,道の角をまがる
もぞこい,かわいそうだ
やぐでもねー,無益だ
やばつい,湿っぽくて気持ち悪い
ろーず,庭
わっしゃ,悪さ
