方言,日本語
あんべわり,具合が悪い
いだまし,惜しい
うだで,いやだ
うるがす,水に浸す
えこえこ,言葉がとげとげしいこと
えふりこぎ,見栄っ張り
おが,あまり
おがる,成長する
おべる,知る
おもしぇ,面白い
かっちゃま,裏返し
かまどけぁす,破産する
がおる,衰弱する
がっこ,漬物
がりっと,しっかり
きもやげる,腹が立つ
ける,やる
げっぱ,最下位
こうぇぁ,疲れた
ごさぐ,怒る
ごんぼほる,駄々をこねる
さい,あっ
しぇぁっこ,おかず
しぇやみこぎ,怠け者
しがねえだ,すまない
しったげ,とても
しっぱね,泥はね
しねぁ,嚙み切れない
しゃっけ,冷たい
しょし,恥ずかしい
じぇんこ,お金
じっぱり,たくさん
だじゃぐ,横着
でらっと,すべて
とかとか,そわそわ
とじぇねぁ,寂しい
どでんする,びっくりする
どやぐ,友達
ながまる,横になる
ぬぎ,暖かい
ねまる,座る
はかはかする,ハラハラする
はらちえ,満腹だ
はんかくせぁ,生意気だ
ばし,嘘
ひとづに,一緒に
びゃっこ,少し
へじねぁ,苦しい
ほじねぁ,正気でない
ままざめあ,食事の支度
まめ,元気
まんじ,まあ
めんけ,かわいらしい
もっこ,化け物
やざがねぁ,悲しい
んだがら,そうだね
