方言,日本語
あがし,明かり
あぐど,かかと
あっぽ,大便
あづばる,集まる
あんちゃ,姉
あんべわりー,病気
いっきゃった,出会った
いやんべ,ほどよい
うだでー,気味悪い
うっつぁし,騒がしい
うるがす,水に浸してふやかす
おっきょる,折る
おっこむ,取り込む
かいちゃ,裏返し
かがらし,うるさい
かんがぢ,やけど
がおる,病気で衰える
きかない,強い
きどころね,うたたね
きめっこ,すねる
きんにょ,昨日
くさし,怠け者
くびこんま,肩車
くぼのえず,蜘蛛の巣
くらつける,たたく
こえー,疲れた
こじはん,おやつ
こめら,子ども
こーのげ,眉毛
ごせやげる,腹が立つ
さすけね,大丈夫
ざんぞ,陰口
しっちゃげる,破ける
しっぱね,泥はね
しなこい,やわらかい
しょーし,恥ずかしい
すいしょ,風呂
ずねー,大きい
せづね,うるさい
ぞせー,粗末
たんがく,持ち上げる
ちんと,少し
でな,額
でんぐる,転ぶ
とぶ,走る
とーみぎ,とうもろこし
どしょなし,臆病者
どのる,痛みが治まる
なーしょ,苗代
にしゃ,おまえ
ねっぱす,はる
はたづ,始める
はなぐら,いびき
はらくった,満腹だ
ばっち,末っ子
ばやっこ,奪い合い
ひまだれ,暇つぶし
ひんのめー,午前中
ぶぐずれる,ふくれっ面をする
ぶんずいろ,やまぶどう色
へでなし,いいかげんなこと
ほまぢ,へそくり
ほろぐ,落とす
ぼっこす,壊す
ぽーぽい,暖かい
まがる,お辞儀する
まじっぽい,まぶしい
まてー,ていねい
まやう,弁償する
むぐす,濡らす
むじる,曲がる
めんげー,かわいい
もじゃぐる,しわくちゃにする
やや,赤ん坊
やーべ,行きましょう
らいさま,雷
んぶう,背負う
んめー,うまい
