方言,日本語
あーたらこーたら,なんだかんだ//あーだこーだ
あえぁー,あいだ
あえぶ,歩く
あおなじみ,青あざ
青なじみ,青あざ
青にじみ,青あざ
あがちく,真っ赤な嘘
赤ちく,真っ赤な嘘
赤ナス,トマト
赤腹,イモリ
あがっぱら,イモリ
赤ほきほき,顔の血色が妙にいい状態
赤ほぎほぎ,顔の血色が妙にいい状態
赤ほげほげ,顔の血色が妙にいい状態
赤ふきぶき,顔の血色が妙にいい状態
あがまっか,真っ赤
あかまんま,血//赤飯
赤まんま,血//赤飯
あがりはな,上がり口//土間から客間に上がるところ（式台）
あがりっぱな,上がり口//土間から客間に上がるところ（式台）
あかる,あく//開く
あがる,あく//開く
あがるむ,実る
あきーよ,あくどい
あきれる,飽きる
あくたもくた,何でもかんでも
あげる,あげる
あげる,提出する
あさざ,朝方//朝早く
足っぴら,足の裏
足っぺだ,足の裏
あすこ,あそこ
あつく,あそこ
あすく,あそこ
あすぶ,遊ぶ
頭切る,髪を切る
頭けずる,髪をとかす
頭の毛,髪の毛
あだまのけ,髪の毛
あだじょっぱい,塩辛い
あだりめ,当たり前
あぢい,暑い//熱い
あつこい,厚い
あつっこい,厚い
あついまけ,熱中症
あづいまげ,熱中症
あっためげえし,再放送
あっためげんこ,拳に息を吹きかけてからするげんこつ
あったらもん,もったいない
あっちゃこっちゃ,あっちこっち
あづばる,集まる
あっぺ,ダメ//汚い//うんこ
あっぱとっぱ,あわてふためく
あてしゃる,後ずさる//後ろに下がる
あでしゃる,後ずさる//後ろに下がる
あでしゃがる,後ずさる//後ろに下がる
あてんじゃり,後ずさり
穴めど,穴
あばさける,甘える
あばせる,調子に乗る//のぼせる
油,ガソリン
あぶら,ガソリン
油味噌,みそっかす
あまーだ,たくさん
あます,吐く
あまだ,たくさん
あまっこ,女の子//ギャル
あま,女の子//ギャル
あよ,ねえ//なあ
あいよ,ねえ//なあ
あーよ,ねえ//なあ
洗いまて,食器洗い//後片付け
洗いまで,食器洗い//後片付け
あらえまで,食器を片付ける
あらける,後片付けをする
あらげる,後片付けをする
あんて,あの人
あんてら,あの人たち
あんべ,塩梅//加減
あんべら,塩梅//加減
あんべわりぃ,不都合//具合が悪い
あんま,あんまり
あんまし,あんまり
あんめ,ないだろう
いー,風呂
いーころかげん,ちょうどいい加減//頃合い
いーはん,夕飯
いいきび,いい気味
いいごとした,ほっとした//よかった
いいべ,いい
いいべな,いいんじゃない
いいべよ,いいでしょう
いいやんばい,いい天気
今日はいいやんばいだねぇ,こんにちは
いかっぺ,いいでしょ//いいだろう
いかがっぺ,いいでしょ//いいだろう
いがっぺな,いいでしょ//いいだろう
いがっぺよ,いいでしょ//いいだろう
よかっぺ,いいでしょ//いいだろう
いかでか,なかなか//どうして
いがでか,なかなか//どうして
いがい,大きい
いぎ,雪//息//駅//行き//生き
いぎあう,でくわす
いきあう,出くわす
いぎなし,いきなり
いぎぼえあがる,息を吹き返す
いぎめど,喉//気道
いぎもねえ,無駄なこと//益もない//意義もない//価値もない
いぎもなく,無駄なこと//益もない//意義もない//価値もない
いぎよぐ,勢いよく
いぎれる,熱くなる//ほてる
いくんち,幾日
いぐんち,幾日
いごく,動く
いのく,動く
いし,おまえ//てめえ
いしや,おまえ//てめえ
いしけー,不細工//ひどい//ぼろい//わるい//しょぼい
いしこい,不細工//ひどい//ぼろい//わるい//しょぼい
えしけー,不細工//ひどい//ぼろい//わるい//しょぼい
