方言,日本語
あっかあっか,冷や冷やする
あったらもん,惜しむべきもの//大切なもの
あってこともねー,とんでもない
あらいまて,食器洗い
うっつあしー,うるさい//やかましい
えっちかる,座る//腰を下ろす
おっける,倒れる//転ぶ
おっぺしょる,折る//曲げる
かっぽろぐ,揺り動かす//ゆする
かんぞ,可愛がる//大事にする
がしょーき,がむしゃら
きどころね,仮寝//うたた寝
ぎゃーに,あまりに
くさる,濡れる
くしゃぐる,目を閉じる//目をつぶる
くものえず,蜘蛛の巣
こっぺくせー,ませている//大人びている
ごじゃっぺ,うそ
ごせーやける,怒る//腹を立てる
ざっぽい,露っぽい
じかきむし,みずすまし
じごくのかぎっつるし,杉菜
じなる,怒鳴る
じゃんぼん,葬式
ずずねー,ぞくぞくする
せっちょー,おせっかい
せーふろ,風呂
ぜんて,すっかり//まるで//まったく
そばえる,甘える
たっぺ,霜柱
たなぎねこ,人になつかない猫
だいじ,大丈夫//心配がない
ちくらっぽ,嘘//でたらめ
ちっぽけっぽ,蟻地獄//アリジゴク
ちゃーる,捨てる
つっかけまんご,なすりあい
つっぺる,踏み入る//入る
てんずだんず,不揃い
でっかす,出会う//遭遇する
とこげる,腐る
ととろずく,あわてる
とろっぴ,いつも
ぬすっくらい,盗み食い
ねごんぼ,朝寝坊
ねんじねんじ,もじもじ//もじもじしているさま
のざえる,つかえる//ふさがる
はだつ,完成する//実る
はなぐら,いびき
はんかきらす,いたずらする
ひして,終日//一日中
ひっちょる,背負う//負う
ひとかたげ,一日分の食
へんげる,心変わりする
ほきる,伸びる//生い茂る//成長する
ぼしょぐされる,びしょびしょになる//全身が濡れる
ぼっとすると,ひょっとすると//もしかすると
まねる,告げ口をする//言いつける
みそっつぐ,みそさざい
むせー,長持ちする//容易に減らない
めめくる,芽差す//芽ぐむ
もやいに,一緒に//共に
ゆっつける,結わえ付ける//縛る
ゆわがんけ,岩場
よろばる,よろめく
