方言,日本語
あいさ,隙間
あいだ,間//平日
あさっぱか,朝食前の早い時間にする仕事
あてこともねー,途方もなくたくさん
あんじゃーねー,心配がない
いいかぶ,いいご身分//気楽
いいしき,いいところ//良しとするところ
いちかる,乗る
いますでっこ,もう少しで
うでっこき,力の限り//精一杯
うら,木や棒の先
えむ,（栗やザクロの）実が熟す
おくり,限られた空間の奥
おこさま,蚕
おこんじょ,意地悪
おたね,麻の種
おっきりこみ,手打ちうどんと野菜を一緒に煮込んだうどん
おっつぁれる,怒られる
おくつべー,正座
おやげねー,かわいそう
おやす,終わらせる
おんか,心配なく//心穏やか//公然と
おーく,はなはだしい
おーごと,苦労がおおい
おーふー,気前が良い
かがやく,探し回る//体を曲げて下を向く
かしょー,誘う
かてる,合わせる//添える//仲間に入れる
ぎす,おしゃれ
けなりー,うらやましい
こじょやか,物静かな//小さな
さくい,気さくな
しき,方法//やり方
しんぜる,神仏にお供えする
じゅーく,生意気な
ずでー,すごく//えらく
せき,席//場所//余地//理由
せっこがーい,よく働く
せっちょー,世話
そがれ,作物などが盛りを過ぎて衰える
そんぶり,不愛想
たまか,倹約
つっかけわんな,無計画な
つぶあし,素足
てんがけ,いきなり
てんぐるま,肩車
とくせー,豊富//裕福
とろびー,しょちゅう//度々
なから,ほとんど//たくさん
になう,二人で支え持つ
ねっそかれる,寝そびれる
はえる,卵が孵化する//うまれる
はぐる,めくる
はそんする,修繕する
ひょーぐる,勢いよく噴き出す
ぶちゃる,棄てる
ぶっこぬき,瓜二つ
へずる,削り減らす
へた,やたら//むやみに
ほきる,草木が成長する//勢いよく伸びる
ほとばす,水につけてふやかす
ほまち,へそくり
ぼっと,偶然
まっさか,本当に//実は
むぐす,くすぐる
めかいご,ものもらい
めためた,めったやったらに
めんめ,めん類
もとらねー,滑らかに動かない
よじける,よろける
よててる,得意としている//上手だ
よー,必要
わざっと,すこし
わにる,はにかむ
