方言,日本語
あいさ,合間
あぐ,顎
あさっぱら,朝//早朝
あにー,兄
あめんぼー,つらら
あわい,普段//平素
あんぶく,泡//あぶく
いきれる,蒸している
いまし,今//ちょうど今
いんごっぱち,強情者//頑固者
うちゃる,捨てる
うでっこき,思いっきり
うむす,蒸す
えら,大層//たくさん//大変
えー,共同//手伝い合うこと
おこさま,蚕//かいこ
おだあげ,むだ話
おちわ,団扇//うちわ
おっつぁばく,裂く//破く
おっぺす,押す
おぶー,背負う
かくねがんしょ,かくれんぼ
かまぎっちょ,とかげ//かなへび
きぬー,昨日
きびしょ,急須//きゅうす
きょーび,こんにち//今日//近頃
くちべろ,唇
くっかく,欠く//嚙みくだく
くね,垣根//生け垣
けったりー,疲れた//だるい
けなりー,うらやましい
けんむし,虫
こそこそ,こつこつ//少しずつ
ごくやすみ,食事後の休み
さがねる,探す
ささらほーさら,ばらばら//めちゃくちゃ
さむしー,寂しい
しあんぼ,けち
しった,底//下
じゃんか,あばた
じょーり,草履//ぞうり
じんぎ,辞儀//挨拶
すぐりみ,細いぬけ道
ずねー,かなり大きい
ずー,成熟した蚕//熟蚕
せなご,長男
せんみ,蟬
せー,して下さい
そらっぺ,うそ//虚言
たっぺ,霜柱
たぼこ,煙草//たばこ
たまか,倹約がうまい//粗末な
ちっとんべー,少しばかり
ちゃぞっぺー,お茶菓子
ちょちょべっこ,蝶々
つっぺる,落ちる//入る
つばくろ,つばめ
てんづけ,いきなり//すぐに
とぶぐち,玄関口
どどめ,熟した桑の実
なから,かなり//たくさん
なびる,塗る
にしら,おまえ//おまえら
ぬくとい,暖かい//あったかい
ねんじん,人参
のたくる,苦しそうにもだえる
のめっこい,つきあいやすい//遠慮がいらない
はぐ,対になっているものの片方が違うこと
はぐる,しそこなう
ひぼ,紐
ふるしき,風呂敷
へーし,やたらに//しだいに
へーび,蛇
へーる,入る//湯に入る//湯いへーる
べろ,舌
ほりっこ,堀//用水堀
ほーたろ,蛍
ぼっち,小さなまとまりの山を数える単位
まさか,とても//はなはだ
まみや,眉毛
みしみっけーる,真剣になる
むる,漏る
めめず,みみず
もーぼれる,もうろくする
やぶ,歩く//行く//来る
ゆいすいる,言い負かす//言って諭す
よっぴて,夜通し//一晩中
よんど,よほど//よくよく
らちゃあかねー,仕事がはかどらない
わざと,少し//気持ちだけのもの
