方言,日本語
あおなじみ,青あざ
あじょーにもかじょーにも,どうにもこうにも
あだける,騒ぐ
あちこい,うらやましい
あったらもん,もったいないもの
あっぱとっぱ,あわてる様子//あたふた
あんとんねー,なんともない
あんとんね,なんともない
いしてー,安っぽい
いしなご,くるぶし
うっちゃらかす,放っておく//散らかす
うなす,耕す
うんてー,重たい
うんならがす,はりきる
えしたくする,粗末に扱う
えしたくなる,古くなる
おいねー,いけない
おかしい,はずかしい
おしゃらぐ,おしゃれ
おじくそ,臆病者
おっぱる,おんぶする
おっぺす,押す
おんごしょる,折る
おんもり,たくさん
かなつらい,だるい
かんくるりんと,すっかり
かんこずねー,際限がない
かーち,かわり
がい,たくさん
がんだめし,炊き損ねた//芯のあるご飯
きもえる,腹を立てる
きょーとましー,かん高い
きーちゃう,困る//疲れる
くぐらける,もつれる//頭が混乱する
くさる,錆びる
くむ,崩れる
けーがわり,体の具合が悪い
ごしゃまんかい,まとまりがない
ごじゃらっぱ,わからずや
ざっかけ,おおざっぱ
ざっぺに,のくせに//の分際で
しびれる,肉体的・精神的に参る
しみじみ,しっかり
じゃみる,にじむ//染みる
すがれる,ねだられる
すっぱり,すっかり
ずぐむ,座り込む
たまたま,初めて
たらがす,散らかす//混乱する
だます,子どもをあやす
ちっくり,背が低い//きゃしゃ
ちゃがる,退く//わきへのく
ちょこす,騙す
つったぎる,突っ切る
つっとる,追突する
てっぱる,無視する
でれすけ,だらしがない人
とっぱどする,失敗する
とんざーねー,届かない
なじょーしべーか,どうしようか
ねっちょー,嫌がらせ//意地悪
ねねこ,赤ん坊
のさくさ,のろのろ
のぜえる,食べ物が喉につかえる
のめる,家が衰える
はごた,余分//半端//不足
はんかもん,お調子者
ひったてる,持ち上げる
ひでっぷしー,まぶしい
びたびた,びしょびしょ
びだける,甘える
びんちょ,対のものがそろっていないこと
ふったがる,火が勢いよく燃える
ふーがわりー,格好悪い//体裁が悪い
ぶしょーたがり,不潔な人
ぶっくらかす,なぐる
までる,しまう
もじく,もぐ//果物などを枝からとる
もちゃぽい,飽きっぽい
もやもやしー,飽きっぽい
やしやし,どんどん
よでもねー,余計なこと
よわる,腐る
りきむ,自慢する//いばる
わーか,すこし
