方言,日本語
あいたちもーしそろ,時がたちました
あいのしゅく,ちょっとさびれている所//合いの手//間にはいる物事
合いの宿,ちょっとさびれている所//合いの手//間にはいる物事
あやじけない,けちだ//欲が深い
いいまのふり,いい気になって
いぎたない,かっこうがだらしない
いけぞんさい,いかにも投げやりな
いさくさ,ごだごだ//いざこざ
いじょく,家の中で座ってする仕事
居職,家の中で座ってする仕事
いじをやく,気をもむ//意地を張る
意地を焼く,気をもむ//意地を張る
一本締め,手締めのうちの一つ
うんじょーする,疲れていやになり、どうしてよいかわからなくなる
えどでない,江戸らしくない
江戸でない,江戸らしくない
おかちん,お餅
おかったるい,十分でない//物足りない
おくれがくる,気おくれする
おさんじつ,一日//十五日//二十八日
おしたじ,醤油
御下地,醤油
おしまい,化粧
お仕舞,化粧
おしまいちゃんちゃん,すっかりおしまい
おしょさん,おっしょうさん
御師匠様,おっしょうさん
おしろこ,おしるこ
おすもじ,お寿司
御酢文字,お寿司
おせおせ,延び延び
押せ押せ,延び延び
おそなわる,遅くなる
おちゃおけ,おちゃうけ
おちゃっぴー,おしゃべりで元気な女の子
おっかない,こわい//おそろしい
おっこちる,落ちる
落っこちる,落ちる
おつくり,化粧//扮装
御作り,化粧//扮装
おつもり,酒がなくなる
お積り,酒がなくなる
おみおつけ,味噌汁
御御御付,味噌汁
おゆーや,風呂場
御湯屋,風呂場
おれくち,知人の死
折れ口,知人の死
おーかわ,隅田川
おーと,大きいバッタ
おーね,根本//本心
大根,根本//本心
かいくれ,全然//全く
搔暮,全然//全く
かげのぞき,ちょっと顔を出すこと
影覗き,ちょっと顔を出すこと
きぶっせい,気がつまる
きんぱくつき,折紙つき//決定版
金箔附き,折紙つき//決定版
くろと,くろうと
くわいのきんとん,のみこみの悪い人//のみこみの悪い事
慈姑金団,のみこみの悪い人//のみこみの悪い事
ぐれはま,食い違うこと
こぎたない,うす汚い
小汚い,うす汚い
こけら,魚のうろこ
こってす,ことです
こびきちょー,歌舞伎座
木挽町,歌舞伎座
こまっちゃくれる,こましゃくれる
こーえん,浅草公園
さんぼんじめ,一本締めを３回繰り返す手締め
ざっかけない,粗野で//がさつで
しじみっかい,しじみかい
しっこきがない,根性がない//意気地がない
しばや,芝居
しろと,素人
じまう,でしまう
じゃう,でしまう
じょーびったり,いつも//常々//始終
常びったり,いつも//常々//始終
すけない,少ない
ぞろっぺー,だらしない
ぞんき,ぶっきらぼう//不愛想//不親切
たまか,倹約する//質素//ケチ
ちまう,てしまう
ちゃう,てしまう
ちんちんもがもが,片足飛び
とうなす,かぼちゃ
唐茄子,かぼちゃ
とんする,落ちる
どんどんやき,お好み焼き//もんじゃやき
どんどん焼き,お好み焼き//もんじゃやき
のっかる,乗る
のっけに,最初に//いきなり
のて,山の手//の手
はばかりさま,お世話様//お気の毒様//恐れ入ります
はんちく,中途半端
半ちく,中途半端
ひあわい,建物の間の狭い道
庇合わい,建物の間の狭い道
ふるしき,風呂敷
ぶるさげる,ぶらさげる
ぶる下げる,ぶら下げる
べらぼう,バカ//ひどく
箆棒,バカ//ひどく
ほとほとする,困りきる
まきもの,菓子などの配りもの
蒔き物,菓子などの配りもの
撒き物,菓子などの配りもの
まじくなう,まぎらわす//取り繕う//言い繕う
まみえ,まゆ
みじんまく,身のしまつ
身じんまく,身のしまつ
みずがし,果物
水菓子,果物
みそっかす,小さいこども
味噌っ滓,小さいこども
むぎゆ,麦茶
麦湯,麦茶
やじょく,屋外でする仕事・職業
屋職,屋外でする仕事・職業
やっちゃば,青物市場
やぼよー,野暮用
