方言,日本語
あやくる,ごまかす
あんきだ,安心だ
あんで,なぜ
いきなりだ,なげやりだ
いさしかぶり,ひさしぶり
いつのかまにか,いつのまにか
いとど,いっそう
いも,もう
いれんな,いろいろな
うざってー,気味が悪い
うたてー,いくじがない
うならかす,早く走る
うんめろ,たくさん
えぼとりむし,かまきり
えーからかん,いいかげん
おいねー,よくない//始末が悪い
おこじゅー,午後三時ごろの間食
おーよ,うん//そうだ
かっぱしょる,尻をはしょる
かめんどー,クワの実
かんじゅーろく,えんどう豆
きだす,ひどくはしゃぐ
きぶっせーだ,気づまりでつきあいにくい
きょーこつだ,大げさだ
くいぞー,食いしんぼう
くじっかてーに,律儀に//かたく
けつふり,セキレイ
ごとろ,ひきがえる
ごとーべー,ひきがえる
ざっかけだ,こだわらない
そーじゃん,そうではないか
せった,といった
たっか,入道雲
つらめーる,つかまえる
てんぐっぱな,やつで（植物）
てんぐるめー,肩車
でけー,大きい
でこー,大変に
とろっぴょーし,頭割り//等分
にばんざ,後妻
はらっかーだ,非常におかしい
ひぐってー,まぶしい
ひだりっぽい,まぶしい
ひとっきり,少しの間
ひぼっちー,まぶしい
ひょっこだ,いびつだ
ひょーたくれる,ふざける//おどける
びゃくがくむ,がけが崩れる
びりんべー,火の気のまじった熱い灰
ふんだだ,十分だ
ぶしょってー,面倒がる
へちゃむくれ,ばか野郎
ほきる,成長する
ほーっぱれかぜ,耳下腺炎//おたふくかぜ
ほーれねこ,のら猫//捨て猫
まぐれっこ,まいご//迷子
まつっこごれ,松かさ//松ぼっくり
まんまじっこ,ままごと遊び
みとーもねー,みっともない//見苦しい
むっかむてん,夢中で//一心に//むやみやたらに
めぐらってー,うるさい
めーめーこーじ,かたつむり
もじゃくれる,もつれる
ももっこ,むささび
もやいで,共同で
やもーど,山地へ入って仕事をする人//山人
よくせき,よほど//よくよく
よこっちゃり,横の方向//横っちょ
よっぽどいい気だ,ひとり合点して喜んでいるのを批評することば
よまんどし,おない年
よらばさーらば,よるとさわると
