方言,日本語
あえまち,怪我
あっきゃー,あれまあ//あれえ
あっちぇ,暑い
あなれ,霰
あね,若い女性//嫁
あんべー,ぐあい//加減
いちがいこき,頑固に自分の主張を押し通す人
いっち,いちばん
いっぺこと,沢山
いとしげだ,可愛らしい//綺麗だ
いぼむし,かまきり
いんが,犬
おえる,生える
おっこっこ,おやまあ
おまん,あなた
おめさん,あなた
かがっぽい,まぶしい
かける,指名する
かねっこーり,つらら
げぁーちま,おたまじゃくし
こざく,またぐようにして歩く
こちょばっこい,くすぐったい
こてー,さ
こびり,おやつ
さべっちょ,おしゃべり//冗舌家
さわぐ,忙しく動き回る
さんじょっぱらい,放ったらかしにする
ざえ,薄く張った氷
しかも,かなり//よほど// しかも釣れた（かなり釣れた）
しゃぎつける,なぐりつける
しょーしー,恥ずかしい
しょーたれ,不潔//不精
じっき,間もなく//すぐに
じょんのび,のんびりくつろぐ
すかす,間引く//空かす
ずく,意気地//根性
ずる,移動する
せつね,つらい//悲しい
そろっと,ぼちぼち//そろそろ
そんま,直ぐ//直ちに
たがく,持つ//かかえる
たよさま,神主
たらかす,だます
だいろ,かたつむり
だいろー,かたつむり
だちかん,仕方がない//だめだ
だりこっぺー,乱雑な//きたない
だーすけ,だから
ちだらまっか,血みどろ
ちょーす,いじる//かまう//あやす
ちょーたくしる,打ち叩く//こらす//いじめる
ちょーはん,昼飯//おやつ
てっこもり,山盛り
てんぽ,うそ//ほら
としや,大晦日の晩//徐夜
ながまる,足を伸ばして横臥する
なく,溶けかける//粘つく
なじ,いかに//いかが//どんな
なじょーも,いかようにも
なんぎー,体が苦しい//辛い
なー,なー
なー,お前
にどいも,じゃがいも
のめし,怠ける
はっこい,冷たい
はんばきぬぎ,旅帰りのお祝い
ばーか,大変//非常に
びちゃる,捨てる//投げ捨てる
ふっとつ,沢山
ふるしー,古い
ほーんに,本当に//全く//非常に
まめら,達者だ//健康だ
まんだら,それでは//さようなら
みよける,孵化する
めぐさえ,見苦しい//みっともない
もしかあんにゃ,次男
もじける,人見知りをする
やでまか,どうしても//飽くまで
やめる,痛む//うずくように痛む
ゆきおろし,降雪前の雷鳴
ゆきほり,屋根の雪おろし
ゆさり,夜//夕方
よっぱらだ,充分だ//飽きた
よむ,熟す
らちがあく,事が解決する
らっくらしる,ほっとする//安堵する
ろも,だけれども
んな,お前
んーま,すぐに
