方言,日本語
あいそんない,わびしい
あしめる,当てにする
あじこと,心配
あまみ,火に当たって、皮膚にできる斑点
あわ,表層雪崩
あんま,長男
いのく,動く
うい,つらい//苦しい//気が進まない
うざくらしい,気味が悪い
うしなかす,失う//無くす
うやない,気持ちが悪い//あやしい
えんなか,囲炉裏
おたくらもん,狡猾な人
おーどな,粗雑な//ぞんざいな
かたがる,傾く
かりやすい,簡単だ
きずいな,わがままだ
きときと,新鮮//精力的なこと
きのどくな,申しわけない//ありがたい
きぶい,窮屈だ
くどい,塩味が濃い
こわくさい,小生意気だ
さいさい,毎度
さんずい,梅雨
しけしけ,たそがれ時
しし,筋肉
しょわしない,心が落ち着かない
しんがいぜん,へそくり
じゃーま,主婦//奥さん
ずこいきり,うぬぼれ者
せだいて,急いで
そいあい,連れ合い//配偶者
そくさい,健康//達者
そばまく,はしゃぎまわる
だちゃかん,駄目だ
だやい,だるい
だら,馬鹿
だんない,差し支えない
ちゃべ,おしゃべり
ちょこがしー,くすぐったい
ちょーだ,寝室
ちょーつける,けりをつける
ちょーはい,親戚の家に泊まりこみで遊びにいく
ちんちんかく,正座する
つかえん,かまわない
つまつま,こじんまり
ていくす,てくれる//てやる
てんぽな,無鉄砲な
どまつく,まごつく
なえ,地震
なじみぞい,恋愛結婚
なーん,いいえ
ねばい,ねばっこい
のまえる,水があふれる
はがやしー,くやしい
はちはん,平然とした振る舞い
はなが,臭い
はべん,かまぼこ
はらうい,腹がいっぱいで苦しい
ばっかい,始末
ばんかけ,小さめの風呂敷
ばんばいする,償う
ひねくらしい,年齢よりも老けてみえる
ひょーげる,ふざける//ひょうきんにする
ほどらい,程度//程合い
まいどー,ごめんください
ませる,差し上げる
またいする,しまう
まばやしー,まぶしい
まめ,達者
みゃーらくもん,道楽者
めぐら,めぐり//周囲
もくしょな,がむしゃらな
もったいしゃ,やっかいなことだ
やくちゃもない,とんでもない
やこい,やわらかい
やわしー,見苦しい
ゆきやけ,やや重度の霜焼け
よむ,数をかぞえる
らんかやす,騒ぎ立てる
りくつな,気が利いている
ろっぽもん,乱暴者
わけもない,とんでもない
わに,鮫
わやく,めちゃくちゃ//乱雑
わらべしい,こどもっぽい
んまそい,よく太っている
