方言,日本語
あいそむない,つまらない
あいそらしー,かわいらしい//愛想がいい
あぐちかく,あぐらをかく
あぐるしー,騒がしい
あせくらしー,忙しい
あたる,貰える
あったらい,もったいない
あてがいな,いい加減な
あへない,恥ずかしい
いさどい,立派な//えらそうな
いじっかしー,うっとうしい//うるさい
いちがいもん,頑固者
いちゃけな,かわいらしい
いものこ,里芋
いんぎらーっと,ゆっくりと
うざくらしー,いやらしい//面倒な
うまそな,元気そうな
えびす,寒天を煮とかし卵をまぜて固めた食べ物
えんじょもん,県外出身の人
おいかー,そうだ
おいでます,いらっしゃる
おてま,お小遣い
おらっちゃ,私//私たち
おんぼらーと,のんびりと
おーどな,大げさな//大ざっぱな//荒っぽい
かさだかな,大げさな
かたい,聞き分けのよい
かたがる,傾く
かやる,ころぶ//倒れる
がざむざと,とりとめもなく//乱雑に
がっぱんなる,一所懸命になる
がんこ,程度の甚だしい
きときと,元気な//新鮮な
きんかんなまなま,雪道が凍ってつるつるの状態
くどい,塩辛い
けんけん,先が尖った
こけ,きのこ
こそがしー,くすぐったい
こーか,小・中学校の通学区域//学区
こーばこ,雌のずわいがに
ごたむく,理屈を言う//文句を言う
ごぼる,雪や泥に足がはまる
しちべた,尻//太もも
しょむない,味がうすい
じゃまない,大丈夫だ
そくさいな,元気な
たっだ,とても
だだくさな,だらしない
だちゃかん,だめだ
だやい,体がつらい
だら,馬鹿
ちきない,体がつらい
ちびたい,冷たい
ちみる,つねる
ちゃべ,おしゃべりな人
でかいこと,たくさん
ととのわん,理屈にあわない//間抜けな
なーん,いいえ
はいだるい,体がだるい//つまらない
はがいしー,悔しい
はつめーな,聡明な//利口な
ひどい,つらい//苦しい
へしない,待ちきれない
べっちゃ,違う//いいえ
べんこな,賢い//ませた
めとにする,馬鹿にする
めもらい,ものもらい
ものい,体調が悪くつらい
もみじこ,着色したたらこ
やくちゃもない,めちゃくちゃな//とんでもない
やっきねー,やる気がない
やねこい,汚い//むさ苦しい
ゆきすかし,雪かき
りくつな,よくできた//巧みな
