方言,日本語
あかる,中身がひっくり返って出る
あがく,暴れる//騒ぐ
あたる,貰える
あっぱ,大便
あばさける,ふざける
あんねー,味がまずい//うまくない
いけー,大きい
いしな,石
いらちか,布を巻いたゴム紐
うそうそ,うす汚れた
うら,私
えん,いない
おいでる,いらっしゃる
おぞい,古い//ひどい//恐ろしい
おちょきん,正座
おっけ,して下さい
おつけ,味噌汁
おとましー,惜しい//うっとうしい
おぼこい,かわいい//子どもっぽい
おもいでな,楽しい//愉快な
おもっしぇー,面白い
おーきに,ありがとう
おーごっちゃ,大変だ
かく,二人で持ち上げる
かざ,臭い
かしく,米を研ぐ
かすな ,とても//大変
かぜねつ,口角炎//口内炎
かてー,元気な//丈夫な
からみ,ご飯なしのおかず
がぼる,雪や泥に足がはまる
きつい,強い
くどい,塩辛い
けなるい,うらやましい
こそばい,くすぐったい
こっぺな,生意気な
しなっと,何気なく//いつのまにか
じゃみじゃみ,テレビ画面の砂嵐状態
じょろかく,あぐらをかく
だわもん,面倒くさがり
だんね,構わない//いい
ちゃがちゃが,ごちゃごちゃ
ちゃっちゃと,すばやく//さっさと
ちゅーぶ,輪ゴム
ちょか,軽率な//そそっかしい
ちょーだる,下さる
つるつるいっぱい,溢れるほどいっぱい
つんつん,鋭く尖った
てきねー,病気で体がつらい
てなわん,ずる賢い//生意気な
てんぽな,非常に//とても//すごく
ながたん,菜切り包丁// このなガたん、切れやんでもた（この菜切り包丁は切れなくなってしまった）
なぶる,触る
にんならん,構わない
のくてー,暖かい//馬鹿な
はしかい,すばしこい//かゆい
はじし,歯茎
はすかい,斜め
ばんば,木製雪かき具
ひっでもんに,とても//すごく
へんもねー,たいくつな//物足りない
べと,土
ほっこりする,疲れる
むだかる,糸などがもつれる
もちゃすびする,おもちゃにする
もつけねー,かわいそう//大変だ
ものごい,悲しい//心配な
よーけ,たくさん
