方言,日本語
いく,何
いっさら,全く
いんめー,少し
うら,私//おれ
えらい,大変だ
おいし,あなた
おいつき,その土地で生まれ育った人//生え抜き
おくたい,体育館//屋内体操場
おだいじん,金持ち//裕福な人
おだんな,夫//主人
おぶどー,ぶどう
おまん,おまえ
かじる,爪でひっかく
からかう,手を尽くす//工夫する//修理する
くむ,交換する
くりょー,くれよ//てくれよ
くるみ,くるぶし
ごろ,子ども用自転車の補助輪
しゅわい,強情で態度がよくない
しーける,元気がない
じおい,土地の生まれの人
じぶり,本降り//長雨
じぶん,あなた//おまえ
じゃっしー,ジャージ//体操着
じーけ,じゃんけん
ずら。,のだろう。
せつない,苦しい
たいへん,たくさん
だたいが,突然
ちゃきー,ずるい
ちょびちょびする,いたずらする
てっずし,不器用
とぶ,走る
のぶい,ずうずうしい
ひっちゃぶく,破る
ぶさらう,たたく//殴る
ぶちゃる,捨てる
ぼこ,子ども
まそっくり,そっくり
みぐさい,見苦しい//みっともない
むじん,仲間内での飲み会や交流の場
めあて,小学校のクラスなどで掲げる目標
もちにいく,取りに行く
やせったい,気ぜわしく落ち着かない
わからんじん,わからずや
わごる,川の流れが渦を巻く
わにわにする,ふざける
