方言,日本語
あかる,こぼれる
あばね,さよなら
いじやく,じれて怒る
いちこつ,がんこ//いっこく
いぼつる,怒る
うつかる,よりかかる
うりもみ,きゅうりを薄く切り、砂糖と酒粕であえた料理
おいでる,いらっしゃる
おかんだっつぁま,雷
おぞい,わるい
おちょんき,軽率な行動//軽率な子
おった,落ちた
おつくべ,正座
おどける,おどろく
おめったい,おっくうだ
おやげねー,かわいそうだ
おやす,終わりにする
おりっと,降りる所
かっちゃ,かしら
きなしに,うっかりして
きばな,細かな氷や雪が木の枝についたもの
きもびしい,手がかかる
くるう,ふざける
くるみ,足のくるぶし
ぐるわ,回り
こうで,腱鞘炎//けんしょうえん
こずく,手間を惜しまず勤勉な
こめのあら,米に交じった籾
こわい,濃い
こんぼこ,幼児//赤ん坊
ござんす,ございます
ごしてー,ひどく疲れた
ごわす,あります
ごーさわく,悔しくて腹が立つ
しなっこい,軟らかい
しみる,冷える//凍りつく
しょー,人々//衆
ずく,やる気
ずくなし,怠け者//ぐうたら
せう,言う
ぞぜーる,子どもが甘える
たたる,建つ
だれどう,誰々
つもい,きつい
てきない,疲れて苦労だ
とびっくら,かけっこ
なっちょ,どう
ねこのしっぽ,末子
のて,無器用で怠け者
はしゃばしゃ,からりとかわいた
ひとっきり,少しの時間
ひどろってー,まぶしい
ぶちゃる,捨てる
へぞる,そりかえる
へら,舌
ほいじゃあ,それじゃあ
ほんじゃあ,それじゃあ
ほとばす,水に浸す
ほんで,それで//そして
ほいで,それで//そして
まあず,まったく
まえで,前に
ましょ,しなさい
まつめる,面倒をみる
まてー,ていねい
まま,崖
まる,排泄する
みぐさい,見苦しい
みやましー,手際がよい
めっためった,いよいよ
もろこし,とうもろこし
もーもーしー,うっとうしい
もーらしー,かわいそうだ
やくやく,わざわざ
やしょうま,釈迦命日に作る団子
やしょんま,釈迦命日に作る団子
やぶせったい,うっとうしい
ゆきやけ,霜焼け
らしー,なさい
らっしー,なさい
わにる,はにかむ//人見知りする
