方言,日本語
あぐましー,億劫だ
あまだかぞ,おびただしく
いきる,蒸し暑い
いずまかす,あぐらをかく
うい,嫌な//気の毒な
うむす,蒸す//蒸し暑い
えげる,飽きる
えせらっこい,喉が痒い
おとましー,もったいない
おわたいで,お陰さまで
かがはえー,眩しい
かーしま,裏返し
きめる,捕らえる
ぎんつ,鯰の子
くだしーよ,下さいよ
くつばかしー,くすぐったい
けそかんと,ぼんやりと
げばいた,失敗する
こっぱい,迷惑
こっぺちょる,威張っている
こわい,恥ずかしい
さがし,竹馬
しみる,凍る
しんびきする,迷う
ずくたれ,怠け者
せせる,弄る
せぶる,ねだる
そめ,かかし//案山子
ためらう,注意する
だちかん,だめだ//いけない
ちじくなる,うずくまる
ちょる,ている
つずりさせ,コオロギ//蟋蟀
つもい,窮屈だ
てきない,苦しい
てにゃわん,手におえない
どす,ひどく
どっぺ,釣った魚を入れる竹で編んだ籠
ながたん,包丁
なれる,なさる
ぬくとい,暖かい
ねちこい,くどい
ねばり,真綿
のっけから,最初から
のま,雪崩
はしゃぐ,乾く
はじかい,ざらざらしている
ひずがねえ,元気がない
ひどろい,眩しい
ひねくましー,年齢よりもふけて見える
ぶちゃける,こぼす
ぶっとく,ほおっておく
へんねしがる,妬む//羨ましがる
へーともねえ,大変な//とんでもない
ほっこりせん,はかばかしくない
ほとばかす,水に浸す
まいか,しましょう
まいこまいこ,いつもいつも
みよ,かいつぶり
みらずに,見ないで//見ずに
むさらっこい,汚い
もじゃくる,こんがらかる
やいと,灸
やっとかめ,久しぶり
やわう,着飾る//支度する
ゆきしな,行きがけ
よこいとる,変だ//腐っている
