方言,日本語
あいまち,怪我
あてこともない,とんでもない//途方もない
あんもー,餅
いかい,大きい
いきる,蒸し暑い
いきれる,蒸し暑い
いと,うち//間
うっちゃる,捨てる//放り投げる
うら,先端
うらっぽー,先端
えらい,大変な//たくさん//つらい//苦しい
えーかん,かなり//だいぶ
おえる,終わる//終わらせる//壊す//だめになる
おやす,終わる//終わらせる//壊す//だめになる
おそんがい,恐ろしい//怖い
おぞい,粗悪な
おだっくい,お調子者//おだてに乗る人
おちゃらかす,冷やかす//嘲笑する
おとましー,見苦しい//つらい//気の毒な
おーぼったい,はれぼったい
かこくさい,焦げ臭い
かたす,仲間に入れる//まぜる
かんじかなる,かじかむ
かんだるい,疲れている//だるい
がとー,大変//たくさん
がとーもない,大変//たくさん
がらい,ついうっかり//つい誤って
くすがる,刺さる
くむ,崩れる
くろ,端//隅//角
ぐれる,捻挫する
けける,載せる
けっこい,きれい
けなるい,うらやましい
こずむ,沈殿する
こぞむ,沈殿する
こそくる,繕う
こつい,小さい
こんきー,疲れた//苦しい
ごせっぽい,せいせいする
ごーがわく,腹が立つ//しゃくにさわる
さばく,破る//裂く
さーたりまーる,うろつきまわる
しなべる,片づける
しょずむ,つまむ
しょろしょろ,ぐずぐず//のろのろ
しょんない,仕方がない//しょうがない
しょんばい,しょっぱい
じるい,やわらかい
ずない,強い//丈夫だ//気が強い//賢い
せせくる,いじる//もてあそぶ
そらーつかう,とぼける//知らないふりをする
ぞんぐりする,ぞっとする
たこる,サボる
ちいっと,少し
ちみくる,つねる
ちょーらかす,ばかにする
ちんぶりかく,ふくれっ面をする//すねる
とじかる,絡まる
とぶ,走る//駆ける
なりき,不作法//粗雑
にーしー,新しい
ねぐさる,腐る
はだって,わざと//故意に
ばった,確保した//押さえた
ひどろしー,まぶしい
ぶしょったい,不潔だ//だらしない
ぶそくる,不機嫌になる
まめったい,よく働く//達者だ
みがましー,よく働くこと//ちゃんとした//まともな
みこ,ひいき//お気に入り
みずらい,見苦しい
みるい,若い//未熟だ
もぞぐったい,痛がゆい//くすぐったい
やくたいもない,役に立たない//くだらない
やっきりする,腹が立つ
やぶせったい,うっとうしい
ゆるせい,のんびりできる//気楽な
よせる,洗濯物を取り込む
らっちもねー,くだらない
らんごく,乱雑
