方言,日本語
あかべっそ,皮膚の赤むけ状態
あかみ,他人の欠点などを探すこと
あけなべ,浪費家//秘密を保てない人
あだに,思いのほか
あつら,辺り
あぶつ,あおぐ
あらいまーし,炊事の後始末
あらけない,乱暴な//荒々しい
ありやい,全部
いせて,わざと
いだぐい,間食
うっとーたい,うるさい//煩わしい
えらい,疲れる//大変な
おこれる,腹が立つ
おざない,大雑把でだらしがない
おそがい,恐ろしい
おとましー,もったいない//かわいそう
おどける,驚く
おぼと,日向
おぼとー,日向
おぼわる,覚えられる
おもこましー,ずうずうしい
おもる,おごる
およずく,手だけを伸ばす//ためらう//よろける
おーだいする,満腹で満足する
おーばかる,広く陣取る
かかまんじる,独占する
かしま,几帳面な//きちんとした
かんかない,どうにもならない
かんこーする,熟考する
がとーもない,非常に多い//予想外
きさんじー,すばらしい
きみじん,清潔好きなきちんとした女性
ぎっとー,融通の利かない
ぐるめ,ごと
けっこい,美しい
こさらしー,生意気な
こっさらしー,生意気な
こすこす,満杯な様
こんきと,しばしば
こんきー,疲れる
ししび,濡れた物を広げ干して水気を取る
すっぺすっぺ,貸し借り無し
すばる,非常に恥ずかしがる
すんと,すぐに
ずる,二人で持ち上げて運ぶ
そそくる,繕う
そそくう,繕う
そーましー,騒がしい
ぞーやみ,取り越し苦労
たいだい,わざわざ
たしない,不足している
だだくさもない,たくさん
ちんちん,非常に熱い状態
とぶ,走る
とーめんこ,通行止め
どさまく,たくさん
どーねき,強情
ねがる,腐る
はば,仲間はずれ
はむ,かがむ
ひきずり,すき焼き
ひこつい,趣がある//理屈っぽい
ひずるい,眩しい
ひーとい,一日中
へんねしー,うらやましい
べっとー,最後
べんこーな,生意気な
ほとびる,火傷する
ぼっくー,わんぱく
またい,確実で間違いがない
ままえる,弁償する
まわしする,準備する
みえる,いらっしゃる
めーげらしー,かわいらしい//見栄えがよい
もーやー,共有
もーやーこ,共有
やけずる,火傷する
やっとかめ,久しぶり
らしもない,無精な//いい加減な
らっしもない,無精な//いい加減な
らんごかない,乱雑な
