方言,日本語
あいべ,歩け//行け
あげん,あのように
あこわー,あれまあ
あたりがほー,くじびきで決める
いこら,行こうよ
いぬる,行く//帰る
おいそれと,すぐ簡単に
おむし,お味噌
おもーさま,たくさん//存分に
おーとっしゃー,あれまあ
おーばけんたいに,おおっぴらに//無遠慮に
かんぴんたん,干からびた
きびょーやみ,極端な潔癖症
ぎなぎなと,まずまず//どうにか
こーっと,ええっと
ござる,おられる
さいこやく,不要な口出しする
しくた,出来損ない
しもてく,亡くなる
しゃだれ,横なぐりの激しい雨
しょずむ,つまむ
せんど,たびたび//思う存分に
そやでこり,だからね
そーだす,そうです
たばる,お供え物を下げる
だいひょー,大柄//長身
だりやめ,ゆるい痛み
だんない,かまわない
ちょこちょこしー,気ぜわしく落ち着きがない
ついぞ,いっぺんも
つぎやいにしとく,申し合わせで互いに贈答を省く
つる,二人で物を持ち上げて運ぶ
てここしー,こまごましたことを器用にこなす
てたもれ,てください
てだーこ,てください
てみえる,ておられる
てれこ,逆//あべこべ
とさいが,と
とびしゃり,雨水などのとばしり//飛沫
どん,殿//様
なぐさみ,いたずら//冗談
のし,ねえ
はざん,だめ//いけない
はだてる,新しく事を起こす
ひっこみがはいる,物を飲み込み損ねて咳き込む
ほっこりせん,思わしくない
ほめき,火のそばなどで顔がほてる
まいか,しようよ//だろうよ
まーり,支度//準備
もっぱ,布を厚く縫いこんだ着物//襤褸//ぼろ
もて,しながら
もんで,ものだから
よって,だから
よれ,たくさん集まる
らちあく,こわれてだめになる
らんぱちやる,大騒ぎする
