方言,日本語
あくさもくさ,洗いざらい
いっせつ,いつも
いつも,妹
うい,申しわけない
うまくさい,おいしそうな匂いがする
おきらす,火を起こす
おせんどさん,ご苦労さん//慰労の挨拶
おちょばい,へつらい
おなり,炊事
おーさわな,大層な//大げさな
おーぼ,世間の付き合い
かざがく,匂いを嗅ぐ
かてる,凍り付く
かんぱ,漬け物//大根漬け
きとろ,隣家//北隣りの家
きなんば,いちじく//無花果
きんまい,美しく立派
けでん,がっかり
けんずい,小昼//中間の食事
げべっちゃ,最後尾//どんじり
こぎる,土を砕いて耕す
こべがうつ,頭痛がする
こらえて,勘弁しておくれ
こーらい,とうもろこし
ごんす,来なさる
さっさる,なさる//しなさる
ざんざかばき,普段履き
しまく,雨がひとしきりひどく降る
しもとくない,取り片付けてください
じちらかと,落ち着いて//じっくりと
じょーだい,おおかた
すける,手助けする
せつろしー,煩わしい
ぞーさな,おっくうな
たい,頂戴//ください
たなぼと,台所の流し元
だしかいな,いいじゃないか
だだけ,むやみに//たくさん
ちんちん,親密な間柄
てざらい,熊手//熊ざらい
てべす,手拍子
てんこもり,山盛り
てんじょつく,べったりと両手をつく
とひょーもない,とてつもない
なまずけない,物ぐさな// なまずけない
なんば,とうがらし//南蛮胡椒//とうもろこし//南蛮黍
にごはち,おおよそ
のーなる,無くなる
ぱっぱ,餅//団子
ひどい,むごい//あきれた//すばらしい//ほめた
ほしばる,星がたくさん出ている
ほだれ,つらら//氷柱
ほっこり,うんざり//ほっこりした
ぼさりつく,背中にしがみつく
まとう,つぐなう//弁償する
まんまんさん,仏様//まるいお月様
むくる,沸騰する
もらう,子を授かる
もる,摘み取る
ゆーて,浴場で使う手ぬぐい
よぞい,おぞましい
りんちょくに,折り目正しく//律儀な
わけ,食べ残し
