方言,日本語
あかん,だめだ//効果がない//むだ//してはいけない
あがる,北へ行く
あじない,まずい//おいしくない
あて,私
あまえた,甘えん坊
いか,凧
いきし,行きがけ
いきしな,行きがけ
いちびる,調子に乗る//調子に乗ってふざける
いらう,触る//いじる
いらち,せかせかして落ち着きのない人//せっかちな人
いらやき,生焼け
うち,私
えずく,吐き気をもよおす//嘔吐する//吐く
えらい,ずいぶん//大層
えんばんと,あいにく//折り悪しく
おあげさん,油揚げ
おいいる,おっしゃる
おくどさん,かまど
おさがり,雨降り//神仏への供え物を下げたもの
おす,ございます
おてしょー,小皿//手塩皿
おてまいり,手間のかかること
おばんざい,ふだんの日のお惣菜
やす,なさいます
かざ,香//におい
かちん,餅
おかちん,餅
かなん,いやだ//困る
かんこくさい,きなくさい//こげくさい
きさんじ,気楽//吞気
きなしぼ,やる気のない人
きばる,がんばる
きょーび,いまどき//近頃//最近
ぎょーさん,たくさん
ぐつわるい,都合が悪い
けなるい,うらやましい
こげつき,祖父以来長くその土地に住んでいること
こたち,他人の子
こないだうち,このあいだ//先だって
こーとな,地味で上品な
しまつする,節約する//倹約する
しんきくさい,もどかしい//じれったい
しんどい,くたびれている//骨が折れる//大変である
すもじ,寿司
たく,煮る
だんない,さしつかえない
つろくする,調和がとれる
てんご,悪ふざけ//いたずら
なおす,しまう//片づける
なむなむ,まずまず//まあまあ
におぐ,匂いを嗅ぐ
のく,どく//よける
はんなり,明るくて上品な
ぶっちゃけたはなし,打ち明けた話//ほんとのところ// ぶっちゃけた話
へんねし,すねること//ねむたいこと
べべたこ,びり//最下位
ほかす,捨てる
ほたえる,ふざけて騒ぐ//暴れる
ほっこりする,ほっとする
ほんま,本当//真実
まったり,やわらかくおだやか
まどす,弁償する
むしやしない,軽食
もみない,味ない//おいしくない
もらいずて,贈り物をもらってお返しをしないこと
やにこい,壊れやすい//ひよわい
よめいり,貰い物をたらい回しにすること
わらける,つい笑ってしまう
