方言,日本語
あたまわり,割り勘
あたりや,車にわざと体をぶつけて運転手に金銭を要求するのを「なりわい」としている人
あかへん,いけない//ダメである
あんぽんたん,間抜けな人
アパッチ族,大阪環状線が城東線と言ってた頃森ノ宮駅の東側の、戦災で荒廃した工場跡に住み着いた人たち
あかい,赤い//明るい
あっぱっぱ,夏用の女性のワンピース//ムームー
あんじょう,うまく//上手に//具合よく//首尾よく
あらへん,ない
あれへん,ない
あんた,あなた
アホになってしもた,使えなくなってしまった
あほ,ばか
あほんだら,ばかやろう
あほたれ,ばかもの
あんぽんたん,ばかもの
あほくさい,ばからしい//くだらない
しょーもない,ばからしい//くだらない
あんばい,具合//程度
あんじょう,ぐあいよく//うまく/ええ塩梅
あいさ,間//隙間
アホやねん,馬鹿なんです
あかん,いけない//ダメ//無理
あめちゃん,飴//キャンディー
いとはん,良家の長女
こいさん,良家の次女
いのく,動く
いちげんさん,芸妓の呼べる高級料亭などでその店にとって初めての客
いかすり神社,大阪市中央区本町にある坐摩神社
いんけつ,ゼロ点
いけず,意地悪
いっこも,少しも//ちっとも
いきる,調子に乗る
いらんこと,要らないこと//無駄なこと
しい,する人
いらち,せっかち
いてまう,やってしまう
うつる,似合う
うち,私//僕
えぐい,あくや渋みが強いもの//悪い印象が激しい人//エッチすぎるビデオ
ええし,良家//金持ち
えらいこっちゃ,大変な事だ
ええ,良い
えらい,たいへん//とても//疲れる
おぶぅーちゃん,幼児に与える水
おぶぅーさん,幼児に与える水
おがる,大きな声で何かを言う
おひさん,太陽
おのれ,おまえ
おんどれ,おまえ
おうめちゃん,梅毒
おちょくる,相手を軽蔑する
おます,居る//有る
でおます,である
尾羽打ちからす,失敗して意気消沈すること
おかん,母//妻//女房
大阪ガス,麻雀で八索のこと
おせる,おしえる
おたふく,麻雀で、東西南北の牌のうち場風牌でも門牌でもなく、ポンしても１ファンにならない風牌
へかぜ,麻雀で、東西南北の牌のうち場風牌でも門牌でもなく、ポンしても１ファンにならない風牌
おかいさん,お粥
おこもさん,こじき
お釈迦さんにさとまぶしたようなひと,非常な善人//寛容な人
お釈迦さんに砂糖まぶしたようなひと,非常な善人//寛容な人
おすもじ,お寿司
おんまさん,お馬さん
おちょくる,馬鹿にしている
おまん,饅頭//まんじゅう
おいど,おしり
かいしょなし,財力にゆとりがない人
かざ,食品、花、抹香などの好ましいにおい
かやく,どんぶりやうどんやそばの上にのせる具//具をたくさんのせたどんぶり飯
かっちん,おおきなどんぐりの実
がめつい,お金の取り方が情け容赦なく大きいこと//お金の取り方が情け容赦なく細かいこと
がたろ,カッパ//胴まである長靴を履き、河に入って川底に埋没している廃品を回収する職業
かんにん,ごめんなさい
かちわり,ビニール袋に入った氷を砕いたもの
がじんたれ,いくじなし
かんてき,七輪
かなん,かなわない//たまらない
かしわ,鶏肉//チキン
かんにん,ごめんなさい//すみません//お許しください
かまへん,構わない
かいことする,交換する
カス,ゴミ以下//まったく使い物にならない存在
関東炊き,おでん
かんしょやみ,潔癖症
きしょくわるい,きもちわるい
木戸銭,入場料
ぎょうさん,たくさん
きしょい,気持ち悪い
くちなわ,蛇の意味
くろいぬのケツ,おもしろくない
くらわす,たべさせる//攻撃する//なぐる
くさい飯,刑務所の食事
ぐつわるい,話相手として苦手//相性が悪い
クソガキ,馬鹿野郎
けつねうろん,きつねうどん
げんがわるい,縁起が悪い
けんぱ,じゃんけんのパー
けと,西洋の外国人
けったい,おかしい//奇妙
こぼんちゃん,商店の使用人//未成年の男子
小僧さん,商店の使用人//未成年の男子
丁稚どん,商店の使用人//未成年の男子
でっちどん,商店の使用人//未成年の男子
ごえらや,石炭を燃料として一般家庭に売る業者
こぼつ,壊す//キチンとなっているものを台無しにする
こそばい,くすぐったい//居心地が悪い
ここらわるい,気持ち悪い
こてこて,ある文化にどっぷりとはまりきった//大阪の文化にはまりきって、体に染みつき絶対他の文化圏の人に同調しない状態
こしゃな,小なまいきな//口が達者な児童
ごんぼ,ごぼう//牛蒡
高野山,高野山//トイレ
ごりょんさん,良家の主婦//豪商商店の主婦
こぞう,商店の使用人//未成年の男子
こどもっさん,商店の使用人//未成年の男子
ごまめ,イワシ
ごんた,小さい子供が無理をいう//子供のいたずら
こう,買う
こちょばす,くすぐる
こそばす,くすぐる
