方言,日本語
あたんする,仕返しをする
あだける,転がり落ちる
あつかましー,忙しい
あはー,阿呆//馬鹿
ありこまち,あるだけ全部
いかめー,羨ましい
いごく,動く
いしこい,ずるい
いぬ,帰る
いらう,触る
おいやか,静か//穏やか
おしょし,粗末
おしょーし,粗末
おせらしい,大人びた
おとち,こわがり
おとんぼ,末っ子
おわえる,追いかける
かく,持ち上げる//持ち上げて運ぶ
かつける,ぶつける
かんこくさい,焦げたにおいがする
がや,信念や根性がない//内容が駄目
けんたいげ,偉そう
こおつと,さてと
こくば,落葉
こそばい,くすぐったい
こっぴんかたげる,/思案する//困る//小鬢(こびん)を傾ける
こまい,小さい
こんね,この家
こーと,地味
ごーがわく,腹が立つ
さっちもない,つまらない
さのめ,今さら
さんこにする,散らかす
さんよ,予定//計算
さんよー,予定//計算
しゃーままげる,お節介を焼く
しょむ,草木が密集する//混雑する
しょーし,かわいそう
しりこぶた,尻
じげ,同じ村//同じ地元
じゃみる,壊れる//中止になる
じゅるい,ぬかるんでいる
すけない,少ない
ずつない,胸や腹が苦しい
せちべん,けち
せんど,長い間
そーばい,にわか雨
たなもと,台所//炊事
たばう,貯める
たんのする,飽きる//退屈する
だぼ,馬鹿
じゅるい,ぬかるんでいる
すけない,少ない
ずつない,胸や腹が苦しい
せちべん,けち
せんど,長い間
そーばい,にわか雨
たなもと,台所//炊事
たばう,貯める
たんのする,飽きる//退屈する
だぼ,馬鹿
つくなむ,しゃがむ
つくねる,こねる//まるめる
つついっぱい,精一杯
てーろ,とても
どつく,殴る
なやすい,簡単だ
なるい,平坦だ
ぬまこい,しまりがない
はしかい,かゆい//すばしっこい
はめ,まむし
はりこむ,おごる
ひなか,半日//午前
ぴりぴりする,雨が少し降る
へっさ,久しく
へらへっと,いっぱい
べっちょない,大丈夫だ//別状ない
ほえねー,何か物足りない
ほげない,はかない
ほたえる,ふざけて暴れる
ほな,さようなら
ほめく,蒸し暑くなる
ほる,捨てる
ほろせ,発疹
まくれる,転がり落ちる
またい,動作が鈍い
またことない,間違いない
まつべる,集める
まどう,弁償する
めぐ,こわす
もみない,不味い
やつす,おしゃれをする
やにこい,弱々しい
よぼる,伝ってこぼれる
よーがい,用意//用心
