方言,日本語
あいさに,たまに//時々
あいやこ,共有
あくち,口のふちが赤くただれる
あっぺ,大便//うんち
あまい,お菓子
いけいけ,間に合わせ//相殺
いっけ,親戚
いぬ,帰る
いのく,動く
いらう,触る
いろー,触る
うんつく,馬鹿者
えらい,たいそう//大変
えーし,資産家//よい家柄
おこり,マラリヤ・マラリアによるふるえ
おたいまつ,東大寺二月堂の修二会
おとろしい,わずらわしい
おとんぼ,末っ子
おんづまり,無理の結果
かいとまわり,アオダイショウ//ヘビ
かえこと,交換
がしんたれ,吝嗇家//けち
がっそ,頭髪がぼうぼうとしている
きさんじ,素直//きまじめ
きっしょ,しおどき
きりこ,餅を「サイ」の目に刻んだあられ
くもじ,菜漬物//大根菜のつけもの
こすい,ずるい
さかむけ,手の爪の付け根の皮膚が細長くむける症状
さかめいる,酒乱
しょーぶわけ,形見分け
しわい,けち//吝嗇な
じょうだり,いつも
ずつない,体調がわるい//気分がわるい
せすい,利益の薄い
せたらう,背負う
せんぐり,次々に
せんど,何度も//十分に
そーのー,家屋に隣接する畑
たいこうさん,背丈の低い人
太閣さん,背丈の低い人
たばる,神仏の前から供物を下げて戴くこと
ため,贈答品の返礼
ちょつくぼる,しゃがむ
つかえる,混雑する
つべい,できる
てれこ,反対//逆さ
てんごする,戯れる//いたずらする
とこぎり,徹底的に//十分に
とこねん,夕涼み用の台
とっきょり,盆や正月などのハレの日//祭りなどの休日
どやぐ,大声で叫ぶ
どやす,なぐる//りとばす
ながたん,包丁
にこ,道から立つ白い土埃
ねき,そば
はそん,修繕
はちがつだいみょう,農家の八月は、大名のようにゆっくりできること
はわす,もらいものをよそへ回す
はんざいこ,隙間
はんつ,数の不揃い
ひだるがみ,山中で出くわす悪霊
ほげたあく,口答えする
ほーせき,おやつ
ぼっこ,すごい//ひどい
まとう,弁償する
まわり,準備
むねやま,畝傍山
もむない,まずい
やくたい,手のつけ様もない
やにこい,粗悪で貧弱な
よさり,夜
よーず,梅雨時の蒸し暑い天候
ろっく,平坦//平ら
