方言,日本語
あかい,明るい
あかせな,駄目だ
あが,自分
あた,とても//非常に
あたくる,甘える
あらくたい,荒々しい//乱暴な
あらくる,整理する//掃除する
あらして,あるじゃないか
ある,いる
いっけ,親戚
うたとい,面倒だ
うら,私
おおきに,ありがとう
おがる,叫ぶ
おこし,いらっしゃい
おたぐらかく,あぐらをかく
おとろし,恐ろしい
おまはん,お前
おもしゃい,面白い
おゆるし,ごめんください//こんにちは
おんしゃ,お前//貴様
かたた,かたつむり
きける,疲れ弱る
きばる,許す
ぎり,つむじ
ぐつわりー,都合が悪い
こたぐる,こじ開ける
こーとな,地味だ
ごんしょ,いらっしゃいよ
しゃるく,歩く
しゃーない,しかたがない
しゅっせいらち,早く出世したがる人
しょくにん,大食漢
せーない,つまらない
たなる,熟す
たる,飽きる
だすい,粗い
ちっちりこ,松かさ
ちゃっと,ついに//とうとう
ついり,梅雨
つく,押す
つむ,混む
てがう,相手になる
てき,あの人//あいつ//お前
てち,すごい
でばつく,ものもらい
とも,かかと
どしゃんばら,草むら
なかどる,二人で担ぐ
なっとか,どうにか
ななこ,お手玉
なんき,かぼちゃ
ぬがる,刺さる
ねっから,まったく
はしりごく,かけっこ
はずむ,贅沢をする
はだ,うろこ
ひる,卵を産む
ぴりきる,疾走する
ふい,余分
ふーがわるい,みっともない
へらこい,人なつっこい
べっこう,余計なこと
べった,びり
ほいたら,そしたら
ほいない,つらい//残念だ
ほたえる,騒ぐ//ふざける
ほーかな,すばらしい
ふーがわるい,みっともない
へらこい,人なつっこい
べっこう,余計なこと
べった,びり
ほいたら,そしたら
ほいない,つらい//残念だ
ほたえる,騒ぐ//ふざける
ほーかな,すばらしい
やにこい,ものすごい
よじむる,片付ける
わせ,私の家
