方言,日本語
あばかす,だます//いつわる
あわだくる,冗談をいう//くだをまく
いぎちない,気の毒な
いらくる,うるさがる
えなげな,いい加減だ//でたらめだ//怪しい
えらがる,苦しがる
えらしじー,忙しい//せわしない//気ぜわしい
えーたいこーたい,いつも
おいだし,解熱剤
おせげな,おとなびた//おとなっぽい
おめる,尻込みする//ためらう
おわえる,追う//追いかける
おーどーな,大胆な//図太い
おーばんで,平気で//公然と//当然のごとく
かぐる,引っ搔く//かきむしる//剝ぐ
かけりやこ,駆けっこ
かずむ,臭いをかぐ
かばち,おしゃべり//減らず口
からむ,結ぶ//しばる
かんちょろい,弱い//病弱な
がいな,大きな//巨大な
きがせれる,いらいらする//苛立つ
きさじー,快い//感じがいい//気持ちがいい
きずい,頑固な
きょてー,恐ろしい//怖い
きょーさめー,不思議な//珍しい//予想外な
ぐやすや,体調の悪い
けっぱなずく,つまずく//失敗する//しくじる
けーかす,消す//消火する//消灯する
こだらかす,あやす//なだめる
こーへた,大人びた
こーへーな,小ざかしい//利口な
ごもくた,ごみ
ごーがわく,怒る//立腹する
さいがはやい,すばしこい//はしこい
さくい,脆い//裂けやすい//粘り気がない
さでくる,落ちる
さんぐりがえし,転倒//宙返り
しかけ,にわか雨//村雨
しじる,素焼きする//さっと焼く//煮る
しびがわりー,恥ずかしい//きまりが悪い
しゃつかがない,常識がない
しゃーまこく,余計なお節介をする
しょのむ,そねむ//妬む
しょーやくする,始末する//調理する
じきのまに,直ぐに//間もなく
じなくそゆー,無理をいう//片意地を張る
じゃんこと,たくさん//多く
すてんぽてん,だらしない//しまりがない//放縦だ
せじゃな,頑固な//お節介な//わがままな
そげーな,そんな//そのような
だらず,馬鹿者//愚か者//馬鹿//愚か
ちんちん,親しい仲//親友
てこい,大きい
でごへご,でこぼこ
とーから,前から
どがでも,無理に//強いて//どうしても
にしくりつける,塗りつける//なすりつける
はたはた,元気よく//景気よく
ひょろずく,よろめく//よろける
もえる,増える//増す
やおい,歯応えがなくやわらかい
やくちゃもにゃ,無駄な
