方言,日本語
あいまち,事件や事故
あとかた,先日//先ごろ
あばかん,ありあまるほど
あまる,落雷する
あんきな,安心な//安楽な
いびせー,恐ろしい//気味が悪い
えっと,えっと
えっと,沢山//最も//一番//久しく
おきしき,好き嫌い
おちらと,長居をして
おどろく,目が覚める
おべる,驚き恐れる
おんぼらと,おだやかな
かいしき,まったく
きこ,頑固//強情
きさんじ,痛快なこと//気晴らし
きょーとい,恐ろしい
きんにょ,昨日
くじ,小言//苦情
ごだっしゃい,いらっしゃい
さばる,さわる//とりかかる//しっかりとつかまえる
ざまくな,粗雑な//見苦しい
しおはいー,塩辛い
じじらに,しきりに//間断なく
じゃん,たくさん
すばり,手足にささるとげ
ずる,滑り落ちる//ずれる
そらやま,家の近くの山
ただもの,度々//何度も//次第に//段々に
たばこする,休憩する//休息する
たわ,峠//谷間
だら,愚か者//怠惰なこと//無意味なこと
だんさん,旧家や特定の職業の男性
ちょっこし,すこしばかり//ちょっと
ちょーしき,食事
てこにあわん,仕事などの能力が足りない
てご,手伝い
てれぐれ,ぐずぐず
なんぎこんぎ,苦労//困難
にげる,去る//転居する
にょーばんこ,女の子
はいごん,大騒ぎ
はしま,午後の間食
はしる,痛みが激しい
はっこーな,盛んな
はらがなえる,腹が減る//空腹になる
ばくらとする,くつろぐ
ばんげ,夕方
ばんじまして,夕方の挨拶
びーびー,魚
へんがえ,変更//取り消し
べったーべったー,何度も//毎度
ほえる,泣く
ほんがほんが,ゆっくり歩く
ほんそご,最愛の子
ぼえちゃげる,追いかける
ぼっこー,大変に//非常に
まくれる,ひっくり返る//転ぶ
みいりがする,筋肉痛になる
むさい,丈夫な
めーわくする,有り難く思う
もそぶ,重いものを運ぶ
もっけな,あきれた//思いがけない//気の毒な//困った
もろもき,夫婦連れ
やご,子どもが駄々をこねる
やっきっき,じゃんけん
やーやこ,ようやく//せっかく
よざる,夜更かしをする
らしがない,だらしがない
ろくにする,膝をくずす//あぐらをかく
ろーちき,たいそう//たくさん
わやくちゃ,乱暴//乱暴なさま
