方言,日本語
あしたり,明日
あずる,もがく//動き回る
あまる,腐る
あんごー,馬鹿
いがる,大きな声で泣き叫ぶ
いく,起こる//発生する
いくまー,行かないだろう//行かないでおこう
いらまかす,からかう
いろー,さわる//いじる
うがす,剝がす//剝く
うったて,最初//手始め
えれー,しんどい
えろー,とても
おえん,だめだ//いけない
おらぶ,大きな声で叫ぶ
かさにのせる,傘に入れる
かなぐる,引っかく
うがす,剝がす//剝く
うったて,最初//手始め
えれー,しんどい
えろー,とても
おえん,だめだ//いけない
おらぶ,大きな声で叫ぶ
かさにのせる,傘に入れる
かなぐる,引っかく
がっそー,髪がぼさぼさな
きてじゃ,いらっしゃる
きょーてー,恐ろしい//気味が悪い
ぎょーさん,たくさん
ぐしー,ゆるい
けっぱんずく,つまずく
けなりー,うらやましい
こがーな,こんな//このような
ごじゃ,筋の通らないこと//無茶
さばる,しがみつく//くっつく
しうぇー,繊維質があって嚙み切りにくい
しねー,しなさい
しんちぇー,しなさい
じりー,水気が多くて柔らかい
すける,乗せる
すばろーしー,ゆううつな//不機嫌な
すらー,するよ
せられー,しなさい
せわーねー,大丈夫だ//心配ない
そねーな,そのような//そんな
たててーて,立てておいて
たてり,物事の道理や規則
たびょー,食べるだろう
ちばける,ふざける
ちょれー,愚鈍な//頼りない
ちーたー,少しは
つかーせー,ください
てご,手伝い//手助け
でーれー,すごく//とても//ものすごい
とらげる,片付ける//しまう
どーすりゃー,どうすればいいのか
なんなら,なあんだ
にがる,腹が苦しく痛む
のりょーる,乗りつつある//乗りそうになる
のーなる,無くなる//亡くなる
はしる,ピリピリ痛む
ひょんなげな,変な//奇妙な
ふーがわりー,みっともない//体裁が悪い
ほかる,火照る
ぼっけー,すごく//とても//ものすごい
まける,こぼれる
まん,運
みてる,なくなる//尽きる
めげる,壊れる
もっとで,もう少しで
もとーる,口が達者だ//よく喋る
やっちもねー,つまらない//ばかばかしい
やりますらー,やりますよ//やりましょう
ゆーてゆー,と言う
ゆーに,ゆっくりと
よだつ,気が進まない//億劫になる
よーけ,たくさん
よーせん,とてもできない
らく,大丈夫だ//差し支えない
