方言,日本語
アイスケーキ,アイスクリーム
あがーでも,あるいは
あがにー,そんなこと
あぐ,飽きる
あげーなもん,あんなもの
あずる,てこずる//あがく//難儀する
あつい,痛い
あっこ,あそこ
あののー,あのね
あばすれる,騒ぎ立てる//ふざける
あまくりかえる,余る
あらましな,粗雑だ//ぞんざいだ
ありこ,蟻（あり）
ありゃーのー,あれはね
あんに,あの人
あんがいに,意外と
あんきな,呑気な
あんたんちゃー,君の家
あんなぁ,あいつ
あんばい,（体の）調子
あんびん,餡入り餅
あんやん,兄
いが,とげ
いがむ,怒鳴る
いきたがい,行き違い
いぎ,魚の骨
いごかす,動かす
いけにゃー,だめならば
いけまーが,しないとダメ
いけん,だめ
いごいごする,そわそわする
いたしー,窮屈だ//難しい//煩わしい
いちがいもん,強情者//頑固者//一概者
いついき,いっつも
いつず,いつか
いっさんきに,一度に
いっそ,全く//全然
いっちゃん,1番
いっちょうらい,晴れ着
いなげな,変な
いなす,帰らせる
いにしなに,帰りがけに
いぬる,去る//帰る//もどる
いびせー,恐ろしい//こわい
いましがた,少し前
いらう,さわる
いりこ,煮干し
いんでこうわい,帰る
うがく,抜く
うぐ,剥がす
うげる,はがれる
うずく,痛い
うずないー,難しい
うずろうしい,うっとうしい
うち,わたし
うつり,返礼の品//おかえし
うべる,薄める
うまいしこ,上手に
うみべた,海近く
うむ,腐る
うもる,沈む
うもれる,見えなくなる
うれし,お調子者
うわっぱり,上着
うわやく,上司
うんにゃぁ,いいえ
えーがい,ちゃんと
えーがに,うまい具合に
えーがの,いいじゃないか
えかった,良い
えっと,たくさん//分量多く//仰山
えどる,なぞる
えらい,疲れた
えんこー,河童
えーかわん,買うことができない
おーかぜ,ひどい風邪
おいー,多い
おえん,だめだ
おーがっそう,髪がぼさぼさであるさま
おかしげな,変な
おごーさん,奥さん
おさめる,片付ける
おしこみ,押し入れ
おじゃみ,お手玉
おじんじょ,正座
おせ,大人
おそれ,臆病
おっけぇ,大きい
おとつい,おととい
おどれ,お前//貴様//汝
おどろく,目が覚める
おなご,おんな
おはようあります,おはようございます
おばる,痛い
おぶける,驚く//びっくりする
おらぶ,叫ぶ//大声を上げる
おらん,いない
おりんさる,いらっしゃる
おるんじゃー,いるんだって
おれん,やってられない
