方言,日本語
あずる,手こずる//困る
いかい,大きい
いぎ,のどに刺さった魚の小骨
えずい,頭がいい//ずるがしこい
えどる,なぞる
えぶ,竹ざる//竹ちりとり
えーころはちべー,いい加減に
おいでませ,いらっしゃいませ
おだん,私
かく,髪を櫛でとく
かぶる,嚙む//刺す
がんぜき,熊手
きっぽ,傷跡
きなる,得意になる
きびる,結ぶ//束ねる
きゃしゃげな,汚い
くずぬく,しゃがむ//姿勢を低くする
けつる,ける//つまずく
こつる,咳をする
ごんごんちー,妖怪//幽霊
さしくる,都合をつける
さでこむ,かき集める//放り込む
さでしてる,放り捨てる
さんしのみっつ,いちにのさん
しかぶる,大小便を漏らす
しわい,しつこい
じら,わがまま
すいばり,木の棘
せんない,面倒くさい//つまらない
それいね,そうだよね//その通り
そんとな,そのような
そーそーする,あちこち出歩く
たける,叫ぶ
たっける,叫ぶ
だいしょ,多少
だいしょー,多少
だだんだー,乱雑//むちゃくちゃ
ちゃりこい,すばしこい
つくだる,疲れ果てる//つぶれる//腐る
つくなむ,しゃがむ
つっぺ,引き分け//同じ
つばえる,ふざける//じゃれる
つまらん,だめだ//いけない
てれんこぱれんこ,ふらふらする//ぐずぐずする
てんくら,仕事もなく信用ができない人//うそ
でんきな,意地っ張り//頑固
どーかん,悪ガキ//腕白
にくじ,悪口//皮肉//嫌み
にーさま,義兄//お兄さん
ねき,側
はしかいー,気が短い//歯がゆい
はぶてる,すねる
ひゃっかん,もみあげ
びっしゃ,ビシャビシャ
びったれ,不精者
びんぶく,肩車
ぶち,とても//たいそう
ぶるとっぴん,急いで//フルスピードで
へんくー,屁理屈をいう人//変わり者
へんじょーこんごー,つべこべ言う
ほろける,落ちる
ほーたる,投げる//投げ捨てる
ほーとくない,汚い//不潔な//みっともない
まっつい,そっくり
まめ,元気//健康
めんたし,ごめんなさい
ももくる,くしゃくしゃに丸める
やし,ずるいこと//インチキ
やぶれる,壊れる
よいよ,本当に//全く
ろーま,春菊
