方言,日本語
あずる,てこずる
あばさかる,調子に乗ってはしゃぐ
あばばい,まぶしい
いんぐりちんぐり,不揃いな
いんでくる,帰る
うちんく,私の家
えっと,長い間
おきる,満腹になる
おげ,うそ//でたらめ
おとんぼ,末っ子
おぶける,驚く
おまはん,あなた//おまえ
おもっしょい,おもしろい
かく,担ぐ
かさ,たくさん//大変
かす,水に浸す
かんまん,かまわない
がい,強く//たくさん//性格がきつい
きち,うるち米
きどい,じれったい
きぶい,坂がきつい
けない,なくなるのが早い
げと,最下位
ごじゃ,でたらめ//間違い
さどい,機敏な//機転が利く
しにいる,あざ
しょーたれ,だらしない
しりうち,泥はね
しんだい,体がだるい//しょうもない//あほらしい
じいも,里芋
せこい,肉体的に苦しい
せこい,気苦しい
せんぐり,次々に//順番に
たしない,稀少だ
たっすい,馬鹿らしい
たてる,閉める
たもれ,下さい
ちょうず,便所
つくなむ,しゃがむ
つべくそ,よけいなお節介
つまえる,片付ける
てれこ,ものの位置が入れ違っていること
どくれる,すねる
どちらいか,どういたしまして
どびる,野菜などが腐り崩れること
どぼれ,あほ//馬鹿
なしになる,なくなる
なるい,傾斜がゆるい
はいりょ,ください
はしかい,痛がゆい//むずがゆい//意地が悪かったり生意気だったりして面倒な性格
はめ,まむし
ひこずる,引きずる//散らかす
ひだるい,空腹だ//ひもじい
ひどい,すごい//えらい
ひんける,干からびる
ひんず,余分
へらこい,ずる賢い
へんしも,すぐさま
ほなけんど,だけど//しかし
まがる,邪魔になる
まける,あふれる
むつごい,味がしつこい//油っぽい
めげる,壊れる
めんどい,難しい//気難しい//理屈っぽい
やね,上腕部
よたんぼ,酔っぱらい
よーたんぼ,酔っぱらい
よわざ,夕方
わがでに,自分で
わるそ,いたずら//いたずら者
