方言,日本語
あじわる,気持ち悪い
あずない,幼稚な
あっぱがお,あきれ顔
あまばい,まぶしい
いぐい,えぐい//したたか
いた,いた
いた,下さい
うたてげ,気の毒な
うっしょやみ,病的な潔癖症
うっしゃやみ,病的な潔癖症
うったて,手始め
うまげな,立派な
うれしげな,生意気な
えどる,なぞる
おうろい,恵みの雨
おうるい,恵みの雨
おきる,満腹になる
おくもじ,菜っ葉の漬物
おげ,ずる//無理
おことい,忙しい
おちらし,麦こがし//はったい粉
おとっちゃま,臆病者
おみーさん,雑炊
おろこばえ,実生
おろかばえ,実生
かさにのせる,傘に入れる
かぼそ,かわうそ
きざから,いじわる
きびる,惜しむ
きょとい,恐ろしい
きょうとい,恐ろしい
くろみ,梅雨
けっこい,美しい//きれいだ
こうねん,立ち入った内容
ごろたひく,おおいびき
ごー,ごらん
さいあがる,調子に乗りすぎる
しける,人見知り
しょーたれ,だらしがない
しょーらしい,おとなしい//まじめ
しりうち,泥はね
じょんならん,どうにもならない
じるい,ぬかるんでいる
ずぼ,ずぶ濡れ
せかれる,腹が立つ
せらう,妬む
せる,する
せんぐり,次々と
せんぐりに,次々と
ぞーらいな,整頓ができない
たってき,取敢えず
つばえる,贅沢する
つむ,きる
てんこつ,てっぺん//頂上
てんまい,よい都合
できあい,あり合わせで作った食事
でっきゃい,あり合わせで作った食事
とつけもない,とんでもない
どくれる,ふてくされる
のどっせ,ずうずうしい//下品な
はがいましー,じれったい
はく,はめる
はせ,ボタン
はめる,仲間に入れる
ひんける,しなびる
ふつむ,目を閉じる
ぶに,運
ぶる,漏る
へっぱくげな,へんてこな
へらこい,ずるい
ほーけにする,軽くみる//馬鹿にする
ぼっこ,非常に
まがる,邪魔になる
まける,あふれてこぼれる
まっつい,酷似している//同じ
まんでがん,全部
むつごい,味が濃い//脂っこい
めぐ,壊す
めめろ,目のごみ
めめり,目のごみ
もさぶる,もてあます
やぎろしー,面倒くさい
りくつげな,えらそうな
ろっぷん,丸裸
