方言,日本語
あらける,間隔をおく
あらやけ,食器洗い
あろん,あれをご覧
あんきまごろく,のんきもの
いいえのことよ,どういたしまして
いでらしい,長持ちしている
いなげな,奇妙な//いやな
いぶしこぶし,でこぼこ
いんでこーわい,帰ります
うずむ,抱きかかえる
えっぽど,よほど
えんこ,河童//水中の化け物
おせらしい,大人っぽい
おたたさん,桶を頭に載せ、魚の行商をする女性
おっぽ,おんぶ
おとどしい,久しぶり
かく,二人以上で持ち上げて運ぶ
かわくろしい,喉がかわいて苦しい
かんち,芯の残ったごはん
がいな,強い//乱暴な
がいに,非常に//たいそう
きっぽ,傷跡
きない,黄色い
ぎり,ばかり//だけ
くじくる,不平を言う//むずかる
けつる,蹴る
ごくどされ,ごくつぶし
しゃぐ,押しつぶす
しゅむ,鼻をかむ
しょうけ,ご飯を入れるザル
じるたんぼ,ぬかるみ
そうたいぶり,ひさしぶり
たいぎい,おっくうだ
たいたい,魚
たごる,咳をする
ちんちべべ,きれいな着物
ついな,同じ//そっくりな
つばえる,じゃれる//ふざけ騒ぐ
つべかやり,でんぐり返り//とんぼ返り
とう,届く
なもし,でございますね
ねき,すぐ近く//そば
ねんがける,狙う//目をつける
のふぞー,粗末
はせだ,仲間はずれ
はちこる,はびこる
はなのす,鼻の穴
はねがい,互い違い
はぶてる,ふてくされる
ばう,奪い合う
びんだれ,服装などのだらしない人
へっちょ,見当違いの方
へんじょうこんごう,理屈
へーさし,長い間
ぽんし,綿入れ袖なし半纏
まがられん,触ってはいけない
みぞい,短い
むつこい,脂っこい//味がしつこい
めぼ,ものもらい
めんどしい,恥ずかしい//下品だ
やぎね,軒下
やねこい,めんどう//気難しい//汚い
やりつける,疲れきる//バテる
やんなはい,して下さい
よもだ,いい加減な//無責任な
らっしもない,とんでもない
