方言,日本語
あがいに,あのように
いごっそー,頑固//意固地
いっつもかっつも,いつもいつも
いんげの,いいえ
うてる,怪我をする
うるさい,苦しい//うっとうしい
おいでる,いらっしゃる
おかしげな,通常と異なる
おっこーな,面倒な//大儀な
おんぼ,おんぶ
かざ,匂い
かまえる,準備する//支度する
かまん,かまわない///よろしい
がいな,強い//手荒な//粗暴な
ぎっちり,しょっちゅう//たゆむことなく
くるめる,しまい込んで片付ける
けんつ,先が鋭くとがった
げに,本当に//実に
こかす,崖や段から落とす//予定を繰り延べる
こじゃんと,ひどく//徹底的に
こたない,大したことはない
こたーない,大したことはない
こたう,肉体的・精神的に応える//支える
こーべる,気取った態度
さがしい,急だ
さびわけする,選り分けて整理する
ざっとした,粗末な//乱雑な
ざんじ,すぐに//またたく間に
しかう,柄などを付ける
しらった,白紙//未使用の紙
しるい,ぬかるんだ//軟弱な
ずつない,つらい//やるせない
せわがる,世話を焼く
たてり,たてまえ//原則
たるばー,思う存分
ちゃがまる,壊れる//だめになる
てがう,からかう
とぎ,道連れ//仲間
ねぜる,寝ていて身動きする
のく,抜ける//落ちる//剝がれる//取れる
のー,都合//具合い//調子
のーがわるい,具合が悪い
はぐ,むく//剝ぐ
ばぶれる,ふざけて騒ぐ//暴れる
ふてる,捨てる//紛失する
へち,見当違いな
へんしも,急いで
ほたくる,ほったらかしにする
ぼっちり,ちょうど合う
めっそー,たいそう//あまり
めっそーな,素晴らしい
めった,しまった
もる,もぐ//摘む
りぐる,方法・材料を吟味して選ぶ//理屈を言い立てて、相手を責める
わく,間引く
