方言,日本語
あいらしか,かわいらしい
あごと,下あご全体//おしゃべり
いさぎよー,とても//元気がいい
いぼる,ぬかるみにはまる
いんにゃ,いいえ
うたち,汚い//卑劣な
うわめくる,ずるく怠ける
えずか,恐い
えずー,たいそう
おっとっととっとってっていっとったとに,おっとっとを取っておいてと言っていたのに
おひめさま,ものもらい
おろいー,悪い//物憂い
かっとっと,買ってあるの？
かてる,仲間に入れる
かるう,おぶう//背負う
がまだす,精を出す
がめに,筑前煮//郷土料理の一種
きびしょ,取っ手の付いた小型の急須
きびる,紐と紐を結ぶ//束ねて縛る
きんしゃい,おいでなさい
くらす,げんこつで強く打つ
くる,あなたの所に行く
ぐらぐらこく,頭に来る
こしょー,唐辛子
こなす,いじわるしていじめる
こまか,細い
こまめる,こまかくする//両替をする
こーかる,自慢して威張る
さっち,かならず
しぇからしか,うるさい
しろしか,うっとうしい
じょーもん,美人
じょーもんさん,若い女性//娘
すいとー,好きだ
すらごと,うそ
そーつく,歩き回る
たっぱい,姿//ふうさい
たまがる,驚く
つくばむ,ひざを曲げ背中をまっすぐにしゃがむ
つまらん,いけない//だめ
てんてれやすい,気安い//容易だ
とぜなか,退屈だ//寂しい
とっとっと,取ってあるの？
とつけむなか,とんでもない
とーきび,とうもろこし
なんかかる,よりかかる//もたれかかる
なんでとっとってくれんやったとっていいよると,なんで取っておいてくれなかったの？って言っているの
なんのあーた,どういたしまして
ぬっか,暑い//暖かい
ねまる,料理やご飯が腐る
はがいか,悔しい
はらかく,腹を立てる
はわく,掃く
ばさらか,とても
ひょくっと,突然
びったれおどし,初秋の冷気
ふくぞむ,はいつくばう
ふつ,よもぎ
ふてーがってー,これは驚いた
ふとか,大きい//太い//背が高い
へっぱく,屁理屈
ほげる,穴があく
ほとめく,十二分にもてなす
ほめく,暑さが極度に強い
まいまい,かたつむり
ますぼり,へそくり
やる,くれる
よかよか,いいよ
よこう,休む
よござっしょ,よいでしょう
