方言,日本語
あさん,あなた
あばかん,入りきれない
あゆっ,落ちる//降る
うーいってんぎゃー,あたり一面
うーばんぎゃーか,大ざっぱ
えすか,こわい
おがまんばとーせん,カマキリ
おらぶ,叫ぶ
おろよか,良くない
がばい,ものすごく
がまだす,精出して働く
きたんぼらつか,汚い
きゃーふかぶい,引っ込み思案//意気地なし
ぎゃーけ,風邪
ぐぜっ,むずがる
こざにっか,小面憎い
ごちゃー,背中
ごっくーさん,神仏に供える飯
ごっとい,ずっと
さばくっ,仕事が捗る
さろく,歩き回る
しぇからしか,うるさい
しっきゃー,全部
しゃれぼー,おしゃれ
しゅーとがが,姑
しれーっと,にっこりと
すらごつ,噓
ずんだるっ,ずり下がる
せつなか,窮屈だ
そんきー,切り杭
ぞーたんのごと,冗談じゃない！
ぞーんわく,腹が立つ
たまがる,驚く
だんだん,いつも//たいそう
ちかっと,少し
ちゃんぎりみゃー,忙しいさま
ちゃーぎゃー,とても
ちーはしる,つい行ってしまう
ぢご,はらわた
でけん,駄目だ
ととしか,不器用//愚図
どっぺすっ,腹いっぱいになる
どーどーどーで,盛んなさま
なんなんすっ,背負う//おんぶする
ぬらーぬら,ゆっくり
ねまる,腐る
のーぶぞか,横着な
ばさらか,たくさん
ひだるか,ひもじい
ひやか,寒い
ふーけもん,馬鹿者
みたんなか,みっともない
むぞーか,かわいい
もいと,うんと
やぐらしか,うっとうしい//うるさい
やーまち,怪我
ゆっつらゆーっと,ゆっくり・ゆったりと
ゆんにゅ,たくさん//余計に
よそわしか,汚い
よみおんさっ,読んでいらっしゃる
よめくさん,お嫁さん
りっぱか,綺麗だ//全部//すっかり
わり,わり
わり,お前
わんわんわんで,頭の痛いさま
