方言,日本語
あかちょかべ,あーかんべ
あせがる,あわてる//急ぐ
あったらか,惜しい
あもよ,おばけ
あもじょ,おばけ
いが,赤ん坊
いっちょく,放っておく
いっちょん,ちっとも//全然
うったまぐる,びっくりする
おっちゃける,落ちる
おとろしか,恐ろしい
おめく,叫ぶ
おーどもん,横着者
おーばんぎゃーな,無謀な
かずむ,嗅ぐ
からう,背負う
きびしょ,急須
きゃーなえる,ひどく疲れる
きんなか,黄色い
ぎゃーなか,頑固だ
ぐーばみる,業を見る//苦労する//つらい思いをする
こっぺのわるか,きまりが悪い
さかとんぼ,さかさま
さばく,髪をくしけずる
さぶなか,味がうすい
さるく,歩く//歩き回る
しゃっちで,何が何でも//無理にでも
すそご,末っ子
しりご,末っ子
すらごつ,噓
そびく,引っ張る
たぎる,沸騰する
ちんちょか,大変に珍らしい
ちんわすれる,うっかり忘れる
つんのむ,連れ立っていく
てれんぱれん,ぶらぶらと何もせず
とんすい,陶製の匙
どーはっしぇん,南京豆
どーも,ありがとう
ねずむ,つねる
はだぐい,間食
はってく,立ち去る
はらかく,腹を立てる
はわく,掃く
ばさらっか,ずさんだ
ばたぐるう,苦しくて暴れる
どーはっしぇん,南京豆
どーも,ありがとう
ねずむ,つねる
はだぐい,間食
はってく,立ち去る
はらかく,腹を立てる
はわく,掃く
ばさらっか,ずさんだ
ばたぐるう,苦しくて暴れる
ふのわるか,運が悪い
ぶくれる,溺れる
へをふる,屁を放る//おならをする
べんたろさん,お人形さん
ほげる,穴があく//穴をあける
ほがす,穴があく//穴をあける
ほめく,暑くなる
ほーらつか,途方もない//誇大な//とても多い
ぼーぶら,カボチャ
まおなき,仰向け
まっぽし,まっ正面
みじょか,かわいい
みどーか,かわいそうだ
むすこんこ,男の子
むすめんこ,女の子
やおなか,容易でない//難しい
やぐらしか,うるさい//わずらわしい
やーのいおばつる,寝小便をする
よんにゅー,たくさん
