方言,日本語
あからん,ものにならない//つまらない
あくしゃうつ,ほとほと困りはてる
あたじゃ,急に//突然
あとぜき,ドアを閉めること
あばかん,たくさん//多く
あゆる,汚れが落ちる
あえる,汚れが落ちる\
いさぎー,大変//非常に
いさぎゅー,大変//非常に
いっちょん,少しも//まったく
いひゅーもん,風変わり者
うすとれー,てれくさい
うっちょく,置き去りにする
うんぶくるる,おぼれる
うーばんぎゃー,大ざっぱだ
えすか,こわい//恐ろしい
おこなえん,しょうがない//たまらない
おずむ,目を覚ます
おたい,わたし
おろよか,あまりよくない//おんぼろだ
かっとーしゅー,順繰りに
かつがつ,少しずつ//適度に
からう,背負う//おんぶする
がまだす,精を出す//頑張る
きぜんのたっか,気位が高い
きっちゃする,つらい思いをする
ぐぜる,ぐずぐず言う//むずがる
ぐっさり,たくさん//どっさり
こすたくりん,けちん坊
こずむ,うず高く積む
こーとーか,上品だ
さかたくりん,逆さま
されく,歩き回る
さろく,歩き回る
しこる,格好つける//威張る
しょなむ,ねたむ
しょのむ,ねたむ
しょんなか,仕方がない
じゅーぐりっと,ぐるりと
せからしか,うるさい
そーにゃ,とても/大変
そーん,とても/大変
そーよー,あるものすべて
たいぎゃ,本当に
ちこらしか,親しい
とぜんなか,さみしい//退屈だ
とつけむにゃー,とんでもない
どけだっか,味がしつこい
なめる,食べる
なわす,しまう//修理する
にくじ,わざと//故意に
ぬすくる,知らん顔する
ぬたーっと,ゆったりと
ねずむ,つねる
ねまる,腐る
のさん,いやだ
はいよ,いただく//してください
はってく,行ってしまう//死んでしまう
はよおそ,早く
はわく,掃く
ばさろ,大変//たくさん
ひだるか,ひもじい//空腹だ
ひっちゃかましか,めんどくさい
ひでる,ひりひりと痛む
びっすいか,何となくすっぱい
びんた,頭
ふのよか,運がいい
ふゆじ,怠け者//寒がりや
ほたゆる,騒ぐ
みろごつもなか,見たくもない
やおいかん,簡単ではない
やぜくるしか,暑苦しい
よーと,すっかり
わからん,だめだ//いけない
わさもん,新しもの好き//初物
