方言,日本語
あばかる,収容できる
いきたむながる,行きたくないと強く思う
いころ,根気//意気地
いちみちきちくりー,行って見てきてくれ
いっすんずり,車のひどい渋滞
いばかり,わがまま
いびしー,気味が悪い
いみる,数量が増える
いら,鱗//うろこ
うたちー,汚くていやだ
うっせー,まずい
えごんいーし,いつも笑顔で愛想のいい人
えらしー,かわいらしい
えーすろー,相手にする//ご機嫌をとる
おじー,恐ろしい//恐い
おたから,幼児\
おっちょる,いる
おめれとごだいます,おめでとうございます
おらぶ,叫ぶ
かかれてください,書いて下さい
かたる,仲間に加わる
がいてー,画鋲
きちょくれ,来て下さい
ぎしめく,威張る
ぎゅーらしー,大仰な//大層な
くされ,意地悪
けとろく,つまらぬこと
けんちょいき,よそ行きの上等の服//一張羅
こばす,気取って言う
ごてーしん,不精者
さかしー,元気だ//壮健だ
さじー,すばしっこい//利に敏い//抜け目がない
ざーねー,非常に//多量に
だーねー,非常に//多量に
しんけん,一生懸命
じりー,道などがぬかって歩きにくい
すもつくれん,役に立たない
ずつねー,苦しい//情けない
ずりきー,ずるい
せらいご,養子をもらって育てているうちに生まれた実子
せる,押す
そーでー,そうだよ
だぶとんどーど,ざぶとんをどうぞ
できられん,絶対できない
どべ,ビリ//最後尾
なおす,片付ける//修理する
にごじゅー,お手上げ//降参//敗北
ねぶる,舐める
のきぶとり,立ち退きの補償金で裕福になること
はなんたれぶりがいー,洟の垂れぶりがよい
はわく,掃く
ひかり,出し合い会飲
ひとすばえする,子どもが来客などに興奮してまつわりつくこと
ひらくち,ふだんのもの言い
へのつっぱりにもならん,まったくものの役に立たない
ほげ,でたらめ
むげねー,かわいそうだ
めんどしー,はずかしい//面倒くさい
やつがい,晩酌
よだきー,億劫だ
