方言,日本語
あいがとぐわした,ありがとう
あせくる,かきまわす//いじくる
あたれー,もったいない
あば,新しい
あんどした,飽きた
あんべらしゅー,あんばい良く
いたぐら,あぐら
いっちゃが,いいよ
うっせる,すてる
えーら,おっと//あらまあ
おくる,起きる
おじー,怖い
おっこね,大きい
おめく,叫ぶ
おやっとさま,お疲れ様
およばん,めんどくさい//いやだ
おらぶ,叫ぶ
おんじょんぼ,夫婦
おーきん,ありがとう
かずむ,臭う
かてむん,おかず
かてる,一緒にする//仲間にする
かりこぼ,山の妖精//妖怪
かりこぼーず,山の妖精//妖怪
がもじん,おばけ
ががんも,おばけ
がられる,おこられる
きかんたろ,いたずらっ子
きんきん,正座
くせらしか,気取っている
ぐらしー,かわいそう
げんね,はずかしい
さかしんめ,逆さま
さのぼい,田植え後の祝宴
ざっといかん,簡単にはいかない
しかしかもねー,生意気//こざかしい
しめなったか,こんばんは
しゃち,弟
じゃがじゃが,そうだそうだ
じゅじゅまき,つむじ
ぎぎまき,つむじ
すいー,酸っぱい
ずし,雑炊
ずる,移動する//詰める
ずんだれ,だらしがない
そがらし,非常にたくさん
だいやみ,晩酌
だいやめ,晩酌
ちんがらっ,めちゃくちゃ
つぐろじんがする,あざになる
てげ,とっても//てげおもれ//大概
てげてげ,とっても//てげおもれ//大概
てにゃわん,始末におえない
でーじゃ,大変だ
なんかかる,寄りかかる
ねりくり,餅の一種
のさる,運の良い//授かる
のさん,つらい//めんどくさい
はげらしー,残念だ//くやしい
はばしー,はげしい//荒い
ひょーすんぼ,かっぱ
ひんつけ,かっこつけ
びっきょ,かえる
びびしゃんこ,肩車
ふうたん,ほっぺた
べっしゃげる,つぶされる
べぶ,牛
べら,薪
べらっなる,全部だめになる
ほがね,頼りない//しっかりしていない
ほげる,穴があく
ほこる,茂る
ぼくじゃ,大変だ
まこち,ほんとうに
まばいー,まぶしい
みごち,すばらしい
むじー,かわいらしい
めあげんそ,ごめんください
もえ,共同でする//寄合
もぞなぎ,かわいそう
やまいもをほる,酔ってくだをまく
やんかぶる,髪の毛がぼさぼさになる
ゆるり,囲炉裏
よくー,休む
よだきー,面倒
わやく,冗談
んだもしたん,あらまあ
んーにゃ,いいや
