方言,日本語
あったらしか,もったいない
あばてんね,たくさん
いっぺこっぺ,たくさん
いて,お湯が熱い
うがみんしょーらん,こんにちは
おい,僕
おかべ,豆腐
おさいじゃす,いらっしゃる
おまんさー,あなた
おやっとさ,お疲れさま
かずん,嗅ぐ
かた,すること//しているところ
からいも,さつまいも
がっつい,ちょうど//ぴったり
がなっ,ことができる
がらるっ,られる
きばっ,頑張る
きょらさ,きれいだ
きんとすわっ,正座する
ぎった,ゴム
ぐらしか,かわいそうだ
けりゃー,だったんだ
げんね,恥ずかしい
ごあす,ございます
ごたっ,のようだ//したい
じごろ,地元生え抜きの田舎者
うそひーごろ,噓つき野郎
さだっ,にわか雨
じゃっど,そうですね
すんくじら,隅っこ
ずんだれ,だらしのない人
ずんばい,たくさん
たもっ,食べる
だいやめ,晩酌
だりょーん,です
ちぇすと,それ
ちゃじょおけ,お茶請け
ちんがらっ,めちゃくちゃ//ぴったり合わないこと
てぃだ,太陽//日
てげてげ,中くらい//適当
てせ,疲れる
とぜんね,さみしい
なおす,片づける
なおっ,移る//引っ越す
にせ,青年
はえ,南風
はげぃー,あらまあ
ばって,しかし
ばば,通り
ぱん,食わん
ひっちゃゆっ,落ちる
びんた,頭//首から上
ぶえん,鮮魚
ぼっけもん,大胆な人//乱暴者
むぞか,かわいい
やぜろしか,うるさい//うっとおしい
やっせん,役に立たない
やまいもほっ,酔ってくだをまく
やんかぶっ,髪の毛がぼさぼさだ
わっぜ,大変//とても
わらべぃんきゃ,子どもたち
んだもしたん,あらまあ
