方言,日本語
あがちゅん,よく働く//はかどる
あがり,東
あきさみよ,あれまあ！
あさばん,昼食
あしはいみじはい,汗水流して
あしぶん,遊ぶ//歌や踊りなどに興ずる
あっちゅん,歩く//動く//進む//働く
あとぅまさいがふ,残り物に福があること
あびーん,しゃべる//呼ぶ//泣く//吠える
あんぐぁー,姉
あんまー,母
あんらぐち,おべっか//お世辞
いじ,勇気//怒り
いっぺー,たいそう//とても
いび,神のいる場所
いやい,伝言
いーぶさかってぃー,言いたい放題
うぅないがみ,おなり神
うたき,御嶽
うちなーゆー,琉球処分//〈明治一二年〉前の琉球国王が治めていた時代
うっさふくらさ,大きな喜び
うみはまゆん,熱心に努力する
うむやーぐぁー,恋人
えいさー,盆踊り
かじふち,暴風
かじょーさん,風が強い状態
かちゃーしー,三線の曲の一首
かながなーとぅ,仲良く
かにはんりゆん,ぼける
かふーし,ありがとう
かめーいん,探す//めとる
さばに,小型の漁船//元はくり舟
さんしん,三線//三味線//蛇皮線
さーたーあんらぎー,揚げ菓子の一種
しーじゃ,兄//年上の者
しーだかさん,霊力が強いこと
そーぬぎゆん,あわてふためく
たっくぃー,血筋//血統
ちびがっさん,気軽に働くさま
ちむ,肝臓//心
ちむえー,意味//わけ
ちむがなさん,心からいとおしい
ちむぐくる,心//精神
ちむぐりさん,気の毒//かわいそう
ちむじゅらさん,情け深い
ちむむちむん,温かい思いやりのある人
ちゃんぷーるー,豆腐、野菜などを油で炒めたもの
ちゅいしーじー,互いに助け合うさま
ちゅらかーぎー,美人
ちゅらさん,美しい//きれい
てぃんさぐー,ほうせんか//鳳仙花
てぃーら,太陽
てぃーらあーみ,天気雨//日が照っているのに雨の降る天気//狐の嫁入り
てーげー,おおよそ
とーたび,人が亡くなること
とーとーめー,位牌
ならーすん,教える
なんくる,自然に//ひとりでに
なーはいばい,めいめい勝手に
にらいかない,海の彼方にあると信じられている理想郷
ぬちゃーしー,困っている人を助けるためなどに一定の金額や物品を持ち寄ること
ぬーる,村落の祭祀を司る神女
はぶ,琉球列島に生息する毒蛇
ひーじゃー,山羊
ふみかすん,賑やかにする
ふりまくとぅー,馬鹿正直//お人好し
まふっくぁ,炎天下
まーふなちゃー,仰向け
みみぐすい,聞いてためになること
みーにし,秋から初冬頃にかけて吹く北風
みーるーさん,久しぶりだ
むんなれー,世の慣習を学ぶこと
めんそーれー,いらっしゃい
やまちっちょーん,乱雑に散らかる
やまとぅんちゅ,日本本土の人
ゆくしむぬいー,噓//偽り
ゆたむぬいー,信用できない言葉
ゆんたくひんたく,べらべら//やたらしゃべるさま
よーがりーひーがり,瘦せほそっている
わかりびーさ,寒の戻り
んじょーさん,いとしい//かわいい
んーぱ,嫌
